,acc
0,0.75936
1,0.75936
2,0.76176
3,0.8286
4,0.83524
5,0.83884
6,0.84044
7,0.84132
8,0.84188
9,0.84316
10,0.84392
11,0.84516
12,0.84504
13,0.847
14,0.84832
15,0.84912
16,0.85
17,0.85108
18,0.85204
19,0.8512
20,0.8522
21,0.85236
22,0.85172
23,0.85152
24,0.85308
25,0.85312
26,0.85272
27,0.85456
28,0.85472
29,0.85216
30,0.85064
31,0.85412
32,0.85512
33,0.85536
34,0.8548
35,0.8558
36,0.85524
37,0.85548
38,0.8562
39,0.8518
40,0.85636
41,0.85548
42,0.85484
43,0.85608
44,0.85332
45,0.8552
46,0.85672
47,0.85516
48,0.85632
49,0.85652
50,0.85632
51,0.85528
52,0.85548
53,0.8578
54,0.85716
55,0.8566
56,0.85616
57,0.856
58,0.85808
59,0.8568
60,0.85648
61,0.85752
62,0.85816
63,0.8572
64,0.85752
65,0.85776
66,0.8568
67,0.85564
68,0.85788
69,0.85748
70,0.85744
71,0.85848
72,0.85648
73,0.85872
74,0.85664
75,0.85788
76,0.85852
77,0.8596
78,0.85816
79,0.85808
80,0.8588
81,0.85896
82,0.85856
83,0.8578
84,0.85924
85,0.8576
86,0.85884
87,0.8578
88,0.85816
89,0.85896
90,0.85648
91,0.8574
92,0.8588
93,0.8598
94,0.85752
95,0.85816
96,0.85956
97,0.85928
98,0.86052
99,0.85956
100,0.86084
101,0.85912
102,0.85776
103,0.86004
104,0.85912
105,0.85964
106,0.85976
107,0.85812
108,0.85948
109,0.85888
110,0.8596
111,0.85936
112,0.85484
113,0.85896
114,0.86012
115,0.85768
116,0.8596
117,0.86
118,0.85856
119,0.86008
120,0.86
121,0.85924
122,0.86052
123,0.85824
124,0.85836
125,0.85944
126,0.86028
127,0.86016
128,0.86024
129,0.85552
130,0.85696
131,0.8606
132,0.861
133,0.85956
134,0.8608
135,0.86068
136,0.8606
137,0.86068
138,0.86092
139,0.86016
140,0.86136
141,0.86036
142,0.86092
143,0.86108
144,0.86088
145,0.861
146,0.8614
147,0.85732
148,0.85996
149,0.86076
150,0.85916
151,0.8604
152,0.86112
153,0.86004
154,0.86012
155,0.8606
156,0.85916
157,0.86108
158,0.85936
159,0.86052
160,0.86144
161,0.86176
162,0.86016
163,0.86016
164,0.86096
165,0.85912
166,0.8604
167,0.85752
168,0.8602
169,0.86128
170,0.86024
171,0.86208
172,0.861
173,0.86004
174,0.86208
175,0.86132
176,0.8572
177,0.85992
178,0.86188
179,0.86
180,0.86192
181,0.8594
182,0.8596
183,0.86028
184,0.8612
185,0.86152
186,0.86212
187,0.86084
188,0.86168
189,0.8608
190,0.86136
191,0.8584
192,0.86116
193,0.86168
194,0.86028
195,0.861
196,0.86004
197,0.85932
198,0.86008
199,0.86048
200,0.86288
201,0.8612
202,0.86112
203,0.86168
204,0.86332
205,0.85884
206,0.86068
207,0.86236
208,0.86172
209,0.86172
210,0.86272
211,0.86128
212,0.8624
213,0.86244
214,0.86268
215,0.86184
216,0.86176
217,0.8608
218,0.86184
219,0.8614
220,0.8614
221,0.86132
222,0.8614
223,0.862
224,0.86196
225,0.85484
226,0.8612
227,0.86172
228,0.85768
229,0.861
230,0.8608
231,0.86176
232,0.86284
233,0.86064
234,0.86028
235,0.8612
236,0.86252
237,0.86244
238,0.86208
239,0.86244
240,0.8618
241,0.86156
242,0.86172
243,0.86008
244,0.86172
245,0.86288
246,0.8626
247,0.86244
248,0.86164
249,0.86308
250,0.86308
251,0.862
252,0.86312
253,0.86108
254,0.86156
255,0.86176
256,0.86068
257,0.8632
258,0.86224
259,0.86096
260,0.86252
261,0.86228
262,0.86236
263,0.85712
264,0.86284
265,0.8626
266,0.85808
267,0.864
268,0.86224
269,0.86204
270,0.86284
271,0.86236
272,0.86352
273,0.86212
274,0.86236
275,0.86192
276,0.86228
277,0.8588
278,0.85992
279,0.86092
280,0.86224
281,0.86264
282,0.86304
283,0.86336
284,0.86324
285,0.8632
286,0.86364
287,0.8638
288,0.86204
289,0.86052
290,0.86412
291,0.86236
292,0.86376
293,0.86184
294,0.85992
295,0.86292
296,0.86412
297,0.8626
298,0.86316
299,0.86388
300,0.86292
301,0.86204
302,0.86296
303,0.86144
304,0.86364
305,0.86364
306,0.86368
307,0.8634
308,0.86388
309,0.8634
310,0.86196
311,0.86312
312,0.8626
313,0.86072
314,0.86308
315,0.86292
316,0.8632
317,0.86288
318,0.8632
319,0.86168
320,0.86204
321,0.86328
322,0.86268
323,0.86152
324,0.86252
325,0.86336
326,0.86368
327,0.86304
328,0.86348
329,0.86228
330,0.86396
331,0.86312
332,0.86436
333,0.86332
334,0.86048
335,0.86224
336,0.86212
337,0.86264
338,0.86316
339,0.86248
340,0.86396
341,0.86268
342,0.86408
343,0.86068
344,0.86292
345,0.86308
346,0.862
347,0.864
348,0.86192
349,0.86432
350,0.86292
351,0.86364
352,0.86348
353,0.86196
354,0.86172
355,0.86336
356,0.8636
357,0.86208
358,0.863
359,0.86344
360,0.86444
361,0.864
362,0.86252
363,0.86184
364,0.863
365,0.86376
366,0.86164
367,0.86332
368,0.8624
369,0.86304
370,0.86308
371,0.8638
372,0.86292
373,0.86276
374,0.86276
375,0.86384
376,0.86228
377,0.86292
378,0.86344
379,0.86404
380,0.863
381,0.86412
382,0.86296
383,0.8618
384,0.86444
385,0.86476
386,0.86376
387,0.86364
388,0.862
389,0.86268
390,0.86376
391,0.86372
392,0.86444
393,0.86336
394,0.86452
395,0.86408
396,0.86096
397,0.86096
398,0.86308
399,0.85908
400,0.8632
401,0.86352
402,0.86344
403,0.86372
404,0.86248
405,0.86304
406,0.86372
407,0.8628
408,0.8604
409,0.8636
410,0.86404
411,0.86404
412,0.86464
413,0.8606
414,0.86416
415,0.86268
416,0.86304
417,0.86052
418,0.864
419,0.86324
420,0.86432
421,0.86324
422,0.86256
423,0.86196
424,0.86508
425,0.86384
426,0.86328
427,0.86236
428,0.86484
429,0.86452
430,0.86324
431,0.86376
432,0.8634
433,0.86372
434,0.86476
435,0.86096
436,0.86368
437,0.8618
438,0.86224
439,0.86292
440,0.8634
441,0.86352
442,0.86376
443,0.86416
444,0.86164
445,0.86396
446,0.86532
447,0.86516
448,0.86528
449,0.8646
450,0.86436
451,0.86372
452,0.86372
453,0.86496
454,0.86412
455,0.86512
456,0.86444
457,0.86248
458,0.8642
459,0.86224
460,0.86248
461,0.86436
462,0.86456
463,0.86504
464,0.86388
465,0.86316
466,0.8634
467,0.86448
468,0.86436
469,0.86392
470,0.86444
471,0.86304
472,0.86512
473,0.8638
474,0.86516
475,0.8648
476,0.86484
477,0.86544
478,0.86384
479,0.86496
480,0.86568
481,0.86516
482,0.86476
483,0.8616
484,0.86308
485,0.86408
486,0.86508
487,0.8636
488,0.8624
489,0.86372
490,0.86396
491,0.86472
492,0.86512
493,0.86448
494,0.8638
495,0.86484
496,0.86512
497,0.86452
498,0.86532
499,0.86376
