,acc
0,0.8438
1,0.85084
2,0.85084
3,0.85184
4,0.84948
5,0.85592
6,0.85516
7,0.85172
8,0.85752
9,0.85928
10,0.85648
11,0.85856
12,0.84976
13,0.86
14,0.86248
15,0.86144
16,0.85956
17,0.85848
18,0.86124
19,0.86256
20,0.86172
21,0.85776
22,0.8644
23,0.86256
24,0.86408
25,0.86176
26,0.86344
27,0.8656
28,0.8656
29,0.8626
30,0.8642
31,0.8646
32,0.86524
33,0.86636
34,0.86648
35,0.8646
36,0.86756
37,0.86696
38,0.86824
39,0.8672
40,0.86684
41,0.86744
42,0.87028
43,0.86924
44,0.86988
45,0.86928
46,0.87024
47,0.86592
48,0.86932
49,0.8702
50,0.8714
51,0.87188
52,0.87088
53,0.87468
54,0.87192
55,0.86812
56,0.87544
57,0.8678
58,0.8672
59,0.86924
60,0.86624
61,0.86856
62,0.87336
63,0.8726
64,0.871
65,0.87472
66,0.8714
67,0.8748
68,0.87472
69,0.87344
70,0.87264
71,0.87504
72,0.87596
73,0.87512
74,0.87452
75,0.87528
76,0.8762
77,0.87668
78,0.8746
79,0.87464
80,0.8756
81,0.87544
82,0.87848
83,0.876
84,0.87596
85,0.87396
86,0.87712
87,0.8766
88,0.8748
89,0.87396
90,0.877
91,0.87776
92,0.87968
93,0.87916
94,0.87804
95,0.87388
96,0.8742
97,0.87904
98,0.87812
99,0.87756
100,0.87756
101,0.874
102,0.8778
103,0.88252
104,0.88016
105,0.8818
106,0.87932
107,0.85304
108,0.87768
109,0.87752
110,0.87592
111,0.88044
112,0.87904
113,0.8794
114,0.87796
115,0.87788
116,0.8812
117,0.88064
118,0.879
119,0.87792
120,0.88008
121,0.88076
122,0.87792
123,0.88252
124,0.877
125,0.87952
126,0.87988
127,0.87952
128,0.87652
129,0.87848
130,0.8814
131,0.87132
132,0.88044
133,0.87772
134,0.87884
135,0.87976
136,0.87952
137,0.87572
138,0.87928
139,0.87476
140,0.87952
141,0.87664
142,0.88028
143,0.8828
144,0.88348
145,0.88304
146,0.88224
147,0.87552
148,0.88228
149,0.88
150,0.88092
151,0.87616
152,0.88216
153,0.88032
154,0.87992
155,0.88112
156,0.88244
157,0.87984
158,0.87824
159,0.8766
160,0.8752
161,0.86608
162,0.87968
163,0.88048
164,0.87976
165,0.8658
166,0.86488
167,0.86824
168,0.87436
169,0.86432
170,0.8706
171,0.8714
172,0.87532
173,0.87308
