,acc
0,0.84636
1,0.84896
2,0.84568
3,0.84856
4,0.85236
5,0.84724
6,0.85444
7,0.8544
8,0.85292
9,0.85552
10,0.85604
11,0.85412
12,0.8572
13,0.85892
14,0.8582
15,0.85684
16,0.859
17,0.86072
18,0.8602
19,0.85996
20,0.86148
21,0.86068
22,0.86152
23,0.86052
24,0.86296
25,0.86348
26,0.86296
27,0.863
28,0.86292
29,0.86484
30,0.86336
31,0.86504
32,0.86244
33,0.85784
34,0.86264
35,0.86392
36,0.86328
37,0.86352
38,0.86528
39,0.86584
40,0.86684
41,0.86656
42,0.86784
43,0.86724
44,0.86872
45,0.86896
46,0.86628
47,0.86572
48,0.86948
49,0.86836
50,0.86936
51,0.87036
52,0.86788
53,0.87072
54,0.87024
55,0.86836
56,0.8702
57,0.8714
58,0.86932
59,0.8688
60,0.87092
61,0.87204
62,0.87108
63,0.86856
64,0.87116
65,0.8724
66,0.87296
67,0.87436
68,0.87472
69,0.873
70,0.87336
71,0.87376
72,0.8748
73,0.87336
74,0.87372
75,0.8764
76,0.87776
77,0.87436
78,0.8748
79,0.8774
80,0.87404
81,0.87508
82,0.87504
83,0.87452
84,0.87436
85,0.87596
86,0.87796
87,0.87736
88,0.87832
89,0.8786
90,0.87548
91,0.87716
92,0.87848
93,0.87776
94,0.87692
95,0.87984
96,0.87924
97,0.87776
98,0.88068
99,0.87768
100,0.87952
101,0.87996
102,0.87864
103,0.8802
104,0.87692
105,0.87864
106,0.88004
107,0.88128
108,0.8794
109,0.88004
110,0.8816
111,0.8798
112,0.87848
113,0.88232
114,0.88192
115,0.87668
116,0.88012
117,0.88076
118,0.8792
119,0.88264
120,0.8824
121,0.88376
122,0.87904
123,0.8788
124,0.88192
125,0.88256
126,0.88264
127,0.88084
128,0.88032
129,0.88372
130,0.8828
131,0.8822
132,0.88348
133,0.88192
134,0.88304
135,0.8846
136,0.8814
137,0.8816
138,0.88424
139,0.88252
140,0.88588
141,0.88116
142,0.8814
143,0.88316
144,0.88388
145,0.88492
146,0.88484
147,0.8828
148,0.88472
149,0.88564
150,0.88448
151,0.8844
152,0.88256
153,0.88176
154,0.88484
155,0.8812
156,0.88308
157,0.88112
158,0.8838
159,0.88432
160,0.88608
161,0.88464
162,0.88072
163,0.88536
164,0.88076
165,0.88316
166,0.88096
167,0.88604
168,0.8826
169,0.88612
170,0.88628
171,0.88476
172,0.883
173,0.88608
174,0.88264
175,0.88336
176,0.88428
177,0.8868
178,0.88284
179,0.88836
180,0.88504
181,0.8854
182,0.88512
183,0.88292
184,0.88088
