,acc
0,0.75936
1,0.75936
2,0.75936
3,0.75996
4,0.82692
5,0.83544
6,0.83716
7,0.83864
8,0.84032
9,0.84024
10,0.84076
11,0.84204
12,0.84188
13,0.84304
14,0.84328
15,0.84236
16,0.84328
17,0.8416
18,0.84352
19,0.84432
20,0.84276
21,0.84528
22,0.84452
23,0.84664
24,0.84672
25,0.84552
26,0.84656
27,0.8478
28,0.84824
29,0.84928
30,0.85044
31,0.85076
32,0.8518
33,0.8528
34,0.85348
35,0.85264
36,0.853
37,0.85296
38,0.85348
39,0.85296
40,0.854
41,0.85308
42,0.85468
43,0.85332
44,0.85296
45,0.85404
46,0.85304
47,0.85616
48,0.85528
49,0.85268
50,0.85256
51,0.85504
52,0.8552
53,0.856
54,0.85428
55,0.85596
56,0.8544
57,0.857
58,0.8552
59,0.8554
60,0.85492
61,0.85632
62,0.85584
63,0.85588
64,0.85548
65,0.85616
66,0.85728
67,0.8562
68,0.85672
69,0.85764
70,0.85752
71,0.85636
72,0.8546
73,0.85648
74,0.85648
75,0.85708
76,0.85444
77,0.85688
78,0.85704
79,0.85612
80,0.85712
81,0.857
82,0.85776
83,0.858
84,0.85652
85,0.85756
86,0.85928
87,0.85832
88,0.85796
89,0.85868
90,0.85676
91,0.8578
92,0.85828
93,0.85904
94,0.85892
95,0.85904
96,0.85796
97,0.8594
98,0.85644
99,0.85764
100,0.85996
101,0.85936
102,0.85944
103,0.85896
104,0.85988
105,0.85948
106,0.8594
107,0.86
108,0.85716
109,0.85912
110,0.86004
111,0.85868
112,0.86036
113,0.85936
114,0.85964
115,0.85796
116,0.85872
117,0.8596
118,0.85972
119,0.85824
120,0.86016
121,0.86
122,0.85996
123,0.86036
124,0.86068
125,0.85768
126,0.85896
127,0.8584
128,0.86052
129,0.8604
130,0.86076
131,0.85904
132,0.86
133,0.86072
134,0.85968
135,0.86112
136,0.86112
137,0.85816
138,0.85972
139,0.861
140,0.858
141,0.86136
142,0.85792
143,0.86212
144,0.86088
145,0.86188
146,0.86152
147,0.85776
148,0.86012
149,0.86204
150,0.86168
151,0.86132
152,0.86124
153,0.85904
154,0.85924
155,0.86148
156,0.86148
157,0.86124
158,0.85988
159,0.86288
160,0.86184
161,0.86064
162,0.86072
163,0.85956
164,0.86128
165,0.8614
166,0.8608
167,0.86144
168,0.86184
169,0.8614
170,0.85892
171,0.86116
172,0.86128
173,0.8618
174,0.86096
175,0.86216
176,0.86228
177,0.86156
178,0.86084
179,0.85964
180,0.86172
181,0.86284
182,0.86348
183,0.86196
184,0.86296
185,0.86184
186,0.8614
187,0.8622
188,0.86188
189,0.86104
190,0.86152
191,0.86188
192,0.86252
193,0.86292
194,0.86268
195,0.86004
196,0.8632
197,0.86308
198,0.86268
199,0.86168
200,0.86348
201,0.86132
202,0.86272
203,0.86228
204,0.86312
205,0.85808
206,0.8622
207,0.86192
208,0.86232
209,0.8604
210,0.8624
211,0.86244
212,0.86208
213,0.8626
214,0.86144
215,0.86236
216,0.86208
217,0.85944
218,0.86204
219,0.86304
220,0.86368
221,0.86288
222,0.86164
223,0.86408
224,0.8634
225,0.86296
226,0.86308
227,0.86308
228,0.8636
229,0.86228
230,0.86328
231,0.86308
232,0.86172
233,0.8596
234,0.8608
235,0.86308
236,0.86252
237,0.86208
238,0.86268
239,0.86396
240,0.86288
241,0.86124
242,0.86076
243,0.86424
244,0.86184
245,0.86348
246,0.86188
247,0.86324
248,0.86344
249,0.86304
250,0.86412
251,0.86332
252,0.86368
253,0.86388
254,0.86456
255,0.863
256,0.86232
257,0.86444
258,0.8646
259,0.86408
260,0.86296
261,0.86324
262,0.8648
263,0.86396
264,0.86444
265,0.86464
266,0.86388
267,0.86404
268,0.86272
269,0.86216
270,0.86332
271,0.864
272,0.86032
273,0.86104
274,0.8628
275,0.86464
276,0.86364
277,0.86528
278,0.86444
279,0.86272
280,0.86292
281,0.86224
282,0.86356
283,0.86408
284,0.86464
285,0.8628
286,0.86336
287,0.86132
288,0.86412
289,0.86428
290,0.86232
291,0.86404
292,0.86492
293,0.86496
294,0.86368
295,0.86328
296,0.86388
297,0.86464
298,0.86268
299,0.86312
300,0.86468
301,0.86308
302,0.86384
303,0.86372
304,0.86436
305,0.8638
306,0.8646
307,0.86412
308,0.8628
309,0.86392
310,0.86428
311,0.86396
312,0.86452
313,0.86452
314,0.86288
315,0.86468
316,0.86192
317,0.86104
318,0.86512
319,0.86168
320,0.86464
321,0.86404
322,0.86508
323,0.86404
324,0.86536
325,0.86508
326,0.85956
327,0.86468
328,0.86468
329,0.86556
330,0.86528
331,0.86516
332,0.8648
333,0.86604
334,0.8644
335,0.86284
336,0.86364
337,0.86304
338,0.8644
339,0.86572
340,0.86304
341,0.86348
342,0.8654
343,0.86544
344,0.8636
345,0.86552
346,0.86496
347,0.86308
348,0.8616
349,0.865
350,0.86504
351,0.86188
352,0.86448
353,0.86416
354,0.8628
355,0.8642
356,0.86368
357,0.86532
358,0.8656
359,0.86448
360,0.86492
361,0.8648
362,0.86324
363,0.8636
364,0.86564
365,0.86524
366,0.86588
367,0.86592
368,0.86492
369,0.85732
370,0.86176
371,0.86528
372,0.8654
373,0.86308
374,0.86544
375,0.8658
376,0.8642
377,0.8648
378,0.86616
379,0.86248
380,0.865
381,0.86508
382,0.86504
383,0.86612
384,0.86504
385,0.86556
386,0.86392
387,0.86328
388,0.86124
389,0.86312
390,0.8656
391,0.86552
392,0.86476
393,0.8652
394,0.8666
395,0.86464
396,0.86584
397,0.86588
398,0.86604
399,0.86084
400,0.8656
401,0.86608
402,0.8654
403,0.8656
404,0.865
405,0.865
406,0.86408
407,0.86168
408,0.8642
409,0.86384
410,0.86532
411,0.8664
412,0.8608
413,0.8658
414,0.86704
415,0.86632
416,0.86596
417,0.86252
418,0.86528
419,0.86608
420,0.86268
421,0.86416
422,0.86312
423,0.86576
424,0.86488
425,0.86596
426,0.8668
427,0.86528
428,0.86348
429,0.86512
430,0.8658
431,0.86664
432,0.86448
433,0.86592
434,0.86316
435,0.86412
436,0.86508
437,0.86572
438,0.86444
439,0.8646
440,0.86636
441,0.8632
442,0.8614
443,0.8658
444,0.86436
445,0.8642
446,0.86396
447,0.8664
448,0.86588
449,0.86452
450,0.86388
451,0.86576
452,0.86292
453,0.8634
454,0.86572
455,0.8658
456,0.86244
457,0.86288
458,0.86524
459,0.86276
460,0.86624
461,0.8672
462,0.86496
463,0.863
464,0.86364
465,0.86616
466,0.86288
467,0.86536
468,0.8652
469,0.86596
470,0.86652
471,0.86712
472,0.86468
473,0.86624
474,0.864
475,0.86584
476,0.86504
477,0.86364
478,0.86632
479,0.86256
480,0.86636
481,0.86528
482,0.86636
483,0.86424
484,0.86396
485,0.86664
486,0.8664
487,0.86676
488,0.86576
489,0.86732
490,0.86264
491,0.86488
492,0.8662
493,0.8648
494,0.86556
495,0.86604
496,0.86608
497,0.86704
498,0.86416
499,0.86652
