,acc
0,0.8196
1,0.834
2,0.84044
3,0.84488
4,0.84528
5,0.84944
6,0.85044
7,0.8506
8,0.85056
9,0.85128
10,0.85216
11,0.85184
12,0.85324
13,0.8534
14,0.85356
15,0.85392
16,0.85472
17,0.85396
18,0.85476
19,0.85236
20,0.8526
21,0.85376
22,0.85492
23,0.85432
24,0.85528
25,0.85576
26,0.85636
27,0.85592
28,0.85712
29,0.85504
30,0.85612
31,0.8578
32,0.8572
33,0.85648
34,0.85632
35,0.85696
36,0.85764
37,0.85828
38,0.85872
39,0.85816
40,0.85732
41,0.85936
42,0.8594
43,0.85888
44,0.85772
45,0.85944
46,0.8582
47,0.86036
48,0.8608
49,0.86032
50,0.86132
51,0.85912
52,0.86124
53,0.86048
54,0.86092
55,0.85932
56,0.86108
57,0.86156
58,0.86216
59,0.86004
60,0.86284
61,0.86176
62,0.86244
63,0.86124
64,0.86204
65,0.8642
66,0.8624
67,0.864
68,0.86384
69,0.864
70,0.86364
71,0.86488
72,0.86328
73,0.86428
74,0.8652
75,0.86464
76,0.86484
77,0.8626
78,0.86524
79,0.86584
80,0.86364
81,0.86536
82,0.8654
83,0.86668
84,0.86604
85,0.86624
86,0.86552
87,0.86668
88,0.86504
89,0.86712
90,0.86744
91,0.86844
92,0.86644
93,0.86944
94,0.86816
95,0.86564
96,0.86516
97,0.86668
98,0.86536
99,0.86728
100,0.86796
101,0.86656
102,0.8682
103,0.86808
104,0.86808
105,0.87068
106,0.86888
107,0.87092
108,0.86932
109,0.86916
110,0.8648
111,0.86912
112,0.86984
113,0.87084
114,0.86816
115,0.87156
116,0.87108
117,0.86896
118,0.86596
119,0.86968
120,0.87152
121,0.87156
122,0.87108
123,0.8668
124,0.871
125,0.87188
126,0.86884
127,0.87308
128,0.872
129,0.8728
130,0.8714
131,0.87356
132,0.87132
133,0.872
134,0.87364
135,0.87116
136,0.87048
137,0.87232
138,0.87288
139,0.8726
140,0.87268
141,0.87384
142,0.87272
143,0.87372
144,0.87228
145,0.87408
146,0.87364
147,0.87364
148,0.87312
149,0.87412
150,0.8742
151,0.87464
152,0.87512
153,0.873
154,0.87468
155,0.87496
156,0.87548
157,0.87512
158,0.87436
159,0.87632
160,0.8768
161,0.8742
162,0.87464
163,0.8756
164,0.87444
165,0.87404
166,0.87716
167,0.87792
168,0.87864
169,0.8752
170,0.87548
171,0.87816
172,0.8784
173,0.87608
174,0.8782
175,0.8768
176,0.87556
177,0.8768
178,0.87804
179,0.8784
180,0.878
181,0.87928
182,0.88012
183,0.87744
184,0.87916
185,0.88044
186,0.87012
187,0.87936
188,0.879
189,0.87748
190,0.87752
191,0.87892
192,0.88104
193,0.8778
194,0.87928
195,0.8818
196,0.88068
197,0.88156
198,0.87996
199,0.87976
200,0.87852
201,0.88148
202,0.87892
203,0.88312
204,0.88012
205,0.881
206,0.88196
207,0.87796
208,0.87944
209,0.88316
210,0.88244
211,0.88208
212,0.8822
213,0.88096
214,0.88476
215,0.88288
216,0.87848
217,0.88332
218,0.88512
219,0.88308
220,0.8806
221,0.88252
222,0.88244
223,0.8856
224,0.88112
225,0.88452
226,0.88164
227,0.8844
228,0.88616
229,0.88352
230,0.88044
231,0.88376
232,0.884
233,0.88104
234,0.88412
235,0.88448
236,0.885
237,0.88312
238,0.88372
239,0.88216
240,0.8874
241,0.88492
242,0.8838
243,0.88716
244,0.88912
245,0.88712
246,0.88928
247,0.89028
248,0.88656
249,0.88204
250,0.88788
251,0.88636
252,0.88748
253,0.88556
254,0.88836
255,0.88872
256,0.88792
257,0.88536
258,0.88692
259,0.888
260,0.89012
261,0.89096
262,0.88644
263,0.88924
264,0.88972
265,0.8872
266,0.88524
267,0.88868
268,0.8888
269,0.88876
270,0.89108
271,0.88696
272,0.89004
273,0.8906
274,0.89084
275,0.89044
276,0.89008
277,0.89116
278,0.88304
279,0.88796
280,0.88864
281,0.89056
282,0.88648
283,0.89076
284,0.89116
285,0.89
286,0.88852
287,0.88556
288,0.89304
289,0.89296
290,0.8918
291,0.8928
292,0.89052
293,0.88816
294,0.89304
295,0.89184
296,0.89012
297,0.89192
298,0.88552
299,0.89236
300,0.8946
301,0.89652
302,0.8908
303,0.8872
304,0.88988
305,0.892
306,0.8958
307,0.89044
308,0.89428
309,0.89456
310,0.89216
311,0.89492
312,0.89724
313,0.89444
314,0.8958
315,0.89092
316,0.89448
317,0.89552
318,0.89684
319,0.89032
320,0.89752
321,0.89372
322,0.89656
323,0.8958
324,0.89552
325,0.89284
326,0.89816
327,0.89468
328,0.89592
329,0.89644
330,0.89588
331,0.89664
332,0.89664
333,0.89832
334,0.89136
335,0.89092
336,0.89108
337,0.89312
338,0.8954
339,0.89652
340,0.89328
341,0.89768
342,0.8982
343,0.89296
344,0.90016
345,0.89288
346,0.8976
347,0.89952
348,0.89908
349,0.89416
350,0.89916
351,0.89776
352,0.90104
353,0.8992
354,0.8992
355,0.89612
356,0.89784
357,0.8968
358,0.9
359,0.90052
360,0.89988
361,0.89844
362,0.89388
363,0.89468
364,0.89444
365,0.89676
366,0.89464
367,0.89344
368,0.89212
369,0.90088
370,0.9
371,0.89908
372,0.90212
373,0.8996
374,0.9026
375,0.89388
376,0.90224
377,0.90336
378,0.8966
379,0.89312
380,0.9008
381,0.90024
382,0.89704
383,0.90192
384,0.89412
385,0.90384
386,0.89376
387,0.90512
388,0.89848
389,0.88984
390,0.89548
391,0.89864
392,0.90468
393,0.90172
394,0.90028
395,0.90204
396,0.8974
397,0.90204
398,0.89808
399,0.90316
400,0.90004
401,0.90408
402,0.89788
