,acc
0,0.84524
1,0.84652
2,0.84652
3,0.85276
4,0.84928
5,0.8514
6,0.85252
7,0.85028
8,0.8538
9,0.85352
10,0.85392
11,0.85368
12,0.854
13,0.85356
14,0.85408
15,0.85568
16,0.85356
17,0.85412
18,0.85284
19,0.8556
20,0.85548
21,0.85456
22,0.857
23,0.85696
24,0.85828
25,0.8576
26,0.85856
27,0.85876
28,0.85676
29,0.85988
30,0.8582
31,0.86032
32,0.85908
33,0.85896
34,0.86116
35,0.8604
36,0.86128
37,0.86048
38,0.85932
39,0.86196
40,0.8604
41,0.86084
42,0.86132
43,0.862
44,0.86356
45,0.86116
46,0.86128
47,0.86328
48,0.86388
49,0.86424
50,0.86316
51,0.864
52,0.8626
53,0.8634
54,0.86292
55,0.86204
56,0.8648
57,0.86368
58,0.86532
59,0.8658
60,0.8636
61,0.862
62,0.86416
63,0.8642
64,0.8656
65,0.86516
66,0.86304
67,0.86284
68,0.86128
69,0.86572
70,0.86444
71,0.86464
72,0.86616
73,0.86504
74,0.86684
75,0.86672
76,0.86532
77,0.8646
78,0.86688
79,0.86632
80,0.86584
81,0.86548
82,0.86652
83,0.86696
84,0.86448
85,0.86644
86,0.86748
87,0.86412
88,0.86664
89,0.86756
90,0.86456
91,0.8662
92,0.86712
93,0.86452
94,0.86684
95,0.867
96,0.86664
97,0.86712
98,0.86608
99,0.86744
100,0.86752
101,0.868
102,0.86648
103,0.86816
104,0.86536
105,0.86808
106,0.8674
107,0.86956
108,0.86784
109,0.86892
110,0.86624
111,0.86696
112,0.86728
113,0.86724
114,0.86744
115,0.86628
116,0.86688
117,0.868
118,0.86812
119,0.86872
120,0.8682
121,0.8656
122,0.86696
123,0.86612
124,0.86764
125,0.86784
126,0.86972
127,0.86636
128,0.86808
129,0.86628
130,0.86732
131,0.86828
132,0.86728
133,0.86816
134,0.8686
135,0.8672
136,0.86832
137,0.86592
138,0.86784
139,0.86496
140,0.86848
141,0.86616
142,0.8684
143,0.86704
144,0.86888
145,0.86972
146,0.86816
147,0.869
148,0.86804
149,0.8666
150,0.86756
151,0.8674
152,0.86764
153,0.86852
154,0.86872
155,0.86904
156,0.86804
157,0.86984
158,0.8686
159,0.86456
160,0.86864
161,0.86972
162,0.86952
163,0.86792
164,0.86856
165,0.86832
166,0.8694
167,0.86724
168,0.86768
169,0.8684
170,0.86888
171,0.86944
172,0.86948
173,0.86664
174,0.8674
175,0.86552
176,0.86904
177,0.86948
178,0.86888
179,0.86788
180,0.86932
181,0.8698
182,0.86784
183,0.8716
184,0.86976
185,0.86904
186,0.86988
187,0.8696
188,0.86956
189,0.86972
190,0.86972
191,0.86976
192,0.87076
193,0.8686
194,0.8686
195,0.86924
196,0.87196
197,0.8702
198,0.87064
199,0.86896
200,0.87036
201,0.87076
202,0.87132
203,0.86804
204,0.87048
205,0.8684
206,0.87
207,0.86528
208,0.86984
209,0.8696
210,0.86928
211,0.8714
212,0.86876
213,0.86896
214,0.87088
215,0.86776
216,0.87012
217,0.87052
218,0.87068
219,0.87208
220,0.86816
221,0.86968
222,0.87076
223,0.86868
224,0.87072
225,0.87124
226,0.87108
227,0.87356
228,0.86972
229,0.87
230,0.8704
231,0.871
232,0.86916
233,0.87112
234,0.8688
235,0.87104
236,0.8712
237,0.87072
238,0.8706
239,0.8724
240,0.86964
241,0.86896
242,0.86996
243,0.87228
244,0.87152
245,0.87116
246,0.87108
247,0.87008
248,0.87064
249,0.86872
250,0.87152
251,0.87072
252,0.8724
253,0.8698
254,0.8702
255,0.87316
256,0.86828
257,0.87188
258,0.86744
259,0.87204
260,0.87192
261,0.87284
262,0.87196
263,0.87096
264,0.87156
265,0.8718
266,0.87264
267,0.87288
268,0.8724
269,0.8732
270,0.8712
271,0.87152
272,0.87132
273,0.87148
274,0.87052
275,0.87212
276,0.8694
277,0.87076
278,0.87328
279,0.87248
280,0.87104
281,0.87248
282,0.87212
283,0.86788
284,0.87332
285,0.87372
286,0.8728
287,0.87292
288,0.87232
289,0.87096
290,0.87204
291,0.8752
292,0.8734
293,0.87316
294,0.87244
295,0.87344
296,0.8728
297,0.87256
298,0.8734
299,0.873
300,0.87336
301,0.8738
302,0.8708
303,0.87212
304,0.87316
305,0.87212
306,0.87316
307,0.874
308,0.87068
309,0.87408
310,0.87328
311,0.87408
312,0.87144
313,0.86984
314,0.87364
315,0.8718
316,0.87116
317,0.87144
