,acc
0,0.75936
1,0.76416
2,0.8302
3,0.83436
4,0.83636
5,0.83872
6,0.8384
7,0.83892
8,0.8402
9,0.8412
10,0.84232
11,0.84088
12,0.842
13,0.8428
14,0.84104
15,0.84176
16,0.84216
17,0.84272
18,0.84156
19,0.84248
20,0.8432
21,0.84304
22,0.84328
23,0.84296
24,0.8432
25,0.84388
26,0.84372
27,0.84348
28,0.84364
29,0.84336
30,0.84412
31,0.8444
32,0.84236
33,0.84428
34,0.84512
35,0.84564
36,0.84616
37,0.84548
38,0.84552
39,0.84492
40,0.84536
41,0.84588
42,0.84756
43,0.84704
44,0.84932
45,0.85016
46,0.84984
47,0.8502
48,0.85028
49,0.84956
50,0.85068
51,0.85024
52,0.85104
53,0.85096
54,0.85096
55,0.8512
56,0.85196
57,0.85248
58,0.85308
59,0.85232
60,0.85336
61,0.85364
62,0.85312
63,0.85336
64,0.85396
65,0.8532
66,0.85096
67,0.85404
68,0.8516
69,0.85468
70,0.85496
71,0.85368
72,0.855
73,0.85492
74,0.85536
75,0.85592
76,0.8552
77,0.85632
78,0.85576
79,0.8552
80,0.85532
81,0.857
82,0.85536
83,0.85584
84,0.85624
85,0.85524
86,0.8542
87,0.8566
88,0.85232
89,0.85424
90,0.85684
91,0.85676
92,0.85624
93,0.85696
94,0.8574
95,0.85456
96,0.8572
97,0.85668
98,0.85688
99,0.85716
100,0.8562
101,0.8562
102,0.85776
103,0.85644
104,0.85812
105,0.85808
106,0.85772
107,0.85816
108,0.8576
109,0.85828
110,0.857
111,0.85644
112,0.85684
113,0.85732
114,0.85796
115,0.85776
116,0.85644
117,0.85708
118,0.85828
119,0.85828
120,0.85764
121,0.85808
122,0.85904
123,0.85872
124,0.85792
125,0.85892
126,0.85704
127,0.8582
128,0.85924
129,0.85896
130,0.8576
131,0.85972
132,0.85876
133,0.85884
134,0.85828
135,0.85888
136,0.85844
137,0.8588
138,0.85876
139,0.85796
140,0.85868
141,0.85928
142,0.85768
143,0.85824
144,0.85996
145,0.85956
146,0.85756
147,0.85892
148,0.85836
149,0.85852
150,0.85856
151,0.86
152,0.85892
153,0.86008
154,0.86024
155,0.85932
156,0.859
157,0.85768
158,0.8596
159,0.86044
160,0.85968
161,0.85984
162,0.85916
163,0.86076
164,0.85988
165,0.86004
166,0.85824
167,0.85812
168,0.86008
169,0.85944
170,0.85924
171,0.86024
172,0.8606
173,0.85956
174,0.8602
175,0.86024
176,0.85924
177,0.86108
178,0.85972
179,0.85948
180,0.86076
181,0.8604
182,0.86036
183,0.86024
184,0.86112
185,0.8596
186,0.86076
187,0.8612
188,0.8592
189,0.86052
190,0.85936
191,0.85904
192,0.86092
193,0.8592
194,0.86144
195,0.85964
196,0.8594
197,0.85888
198,0.8596
199,0.86076
200,0.86008
201,0.86164
202,0.85948
203,0.85992
204,0.85888
205,0.8606
206,0.8592
207,0.85816
208,0.86228
209,0.85988
210,0.86132
211,0.85992
212,0.8622
213,0.861
214,0.86188
215,0.86124
216,0.86
217,0.862
218,0.86232
219,0.86064
220,0.86028
221,0.85952
222,0.85916
223,0.85544
224,0.86212
225,0.8592
226,0.86
227,0.86264
228,0.86136
229,0.86012
230,0.85984
231,0.85804
232,0.85948
233,0.86216
234,0.86096
235,0.86048
236,0.8596
237,0.86208
238,0.86064
239,0.86004
240,0.86256
241,0.86144
242,0.86208
243,0.86088
244,0.85952
245,0.8618
246,0.8612
247,0.86172
248,0.86128
249,0.8612
250,0.85968
251,0.86108
252,0.86136
253,0.86088
254,0.86152
255,0.85996
256,0.86272
257,0.85944
258,0.86312
259,0.86152
260,0.86084
261,0.86176
262,0.86228
263,0.86076
264,0.8628
265,0.85928
266,0.86028
267,0.862
268,0.85996
269,0.86288
270,0.86172
271,0.86128
272,0.85892
273,0.85468
274,0.86212
275,0.86088
276,0.86264
277,0.86164
278,0.8626
279,0.86252
280,0.86192
281,0.86228
282,0.86048
283,0.86104
284,0.85988
285,0.86272
286,0.8618
287,0.86136
288,0.86216
289,0.86052
290,0.86256
291,0.86124
292,0.86104
293,0.86088
294,0.86264
295,0.8622
296,0.8622
297,0.86152
298,0.86284
299,0.86316
300,0.86128
301,0.8624
302,0.86308
303,0.8608
304,0.86276
305,0.86132
306,0.86336
307,0.863
308,0.86308
309,0.86176
310,0.862
311,0.86084
312,0.86068
313,0.86284
314,0.86112
315,0.863
316,0.8624
317,0.86304
318,0.86144
319,0.86164
320,0.85964
321,0.86316
322,0.86192
323,0.86276
324,0.8624
325,0.86092
326,0.86292
327,0.86244
328,0.86084
329,0.85916
330,0.86128
331,0.86352
332,0.86376
333,0.86288
334,0.86148
335,0.86168
336,0.863
337,0.86316
338,0.86212
339,0.85792
340,0.86168
341,0.86324
342,0.86152
343,0.86208
344,0.86328
345,0.86268
346,0.86348
347,0.86328
348,0.86224
349,0.86184
350,0.86324
351,0.86256
352,0.86212
353,0.86056
354,0.86128
355,0.86428
356,0.8618
357,0.86372
358,0.86208
359,0.8638
360,0.86032
361,0.86216
362,0.86188
363,0.86028
364,0.8632
365,0.86128
366,0.86232
367,0.86288
368,0.86312
369,0.86272
370,0.86276
371,0.86248
372,0.86168
373,0.86292
374,0.86172
375,0.8628
376,0.86304
377,0.86208
378,0.8632
379,0.8638
380,0.86372
381,0.8612
382,0.86212
383,0.86416
384,0.86164
385,0.8628
386,0.86128
387,0.86364
388,0.86392
389,0.86404
390,0.86088
391,0.86412
392,0.86304
393,0.86248
394,0.86288
395,0.86368
396,0.864
397,0.86304
398,0.86332
399,0.86276
400,0.86112
401,0.86312
402,0.8634
403,0.86212
404,0.86344
405,0.86164
406,0.86292
407,0.86264
408,0.86128
409,0.86336
410,0.86268
411,0.86244
412,0.86292
413,0.8628
414,0.86216
415,0.86276
416,0.86288
417,0.86204
418,0.86384
419,0.86252
420,0.86428
421,0.85732
422,0.86404
423,0.86328
424,0.86452
425,0.86012
426,0.86336
427,0.86372
428,0.86308
429,0.86336
430,0.86284
431,0.86428
432,0.86476
433,0.86412
434,0.86032
435,0.86296
436,0.86368
437,0.8634
438,0.86424
439,0.86272
440,0.85808
441,0.8628
442,0.86452
443,0.86264
444,0.86048
445,0.86448
446,0.85964
447,0.86252
448,0.86448
449,0.86376
450,0.86256
451,0.86328
452,0.86272
453,0.86288
454,0.86396
455,0.86276
456,0.86492
457,0.86392
458,0.86464
459,0.86376
460,0.86232
461,0.8644
462,0.86364
463,0.8616
464,0.86256
465,0.86332
466,0.86312
467,0.86268
468,0.86404
469,0.86304
470,0.86296
471,0.86372
472,0.86404
473,0.864
474,0.86468
475,0.86368
476,0.86348
477,0.86328
478,0.86472
479,0.86336
480,0.86416
481,0.8634
482,0.86196
483,0.863
484,0.86308
485,0.86324
486,0.86416
487,0.8638
488,0.8636
489,0.8652
490,0.8634
491,0.8638
492,0.86452
493,0.8644
494,0.86048
495,0.86308
496,0.86344
497,0.86396
498,0.86272
499,0.86376
