,acc
0,0.75936
1,0.75936
2,0.75936
3,0.75936
4,0.75936
5,0.75936
6,0.82672
7,0.8336
8,0.83704
9,0.83976
10,0.83972
11,0.84152
12,0.84136
13,0.842
14,0.84252
15,0.84352
16,0.8436
17,0.84456
18,0.84392
19,0.84384
20,0.84536
21,0.84652
22,0.84716
23,0.84808
24,0.849
25,0.85016
26,0.8504
27,0.85036
28,0.8508
29,0.85172
30,0.85216
31,0.85236
32,0.8518
33,0.85204
34,0.85308
35,0.853
36,0.8532
37,0.85252
38,0.85388
39,0.85288
40,0.85364
41,0.85396
42,0.85512
43,0.85508
44,0.85512
45,0.85648
46,0.85532
47,0.85404
48,0.85668
49,0.85532
50,0.85528
51,0.85736
52,0.85652
53,0.85556
54,0.85644
55,0.85604
56,0.8568
57,0.85732
58,0.8552
59,0.85796
60,0.857
61,0.85632
62,0.8576
63,0.85648
64,0.85784
65,0.85776
66,0.85896
67,0.85776
68,0.85864
69,0.85852
70,0.85908
71,0.85904
72,0.85836
73,0.85956
74,0.85832
75,0.85808
76,0.85852
77,0.85988
78,0.85944
79,0.86008
80,0.85932
81,0.85916
82,0.85956
83,0.85988
84,0.85948
85,0.8604
86,0.85836
87,0.85976
88,0.85876
89,0.85964
90,0.86028
91,0.8574
92,0.85848
93,0.85992
94,0.86024
95,0.859
96,0.85904
97,0.85956
98,0.85928
99,0.86004
100,0.86064
101,0.85916
102,0.8598
103,0.8592
104,0.86048
105,0.85984
106,0.85952
107,0.859
108,0.86044
109,0.86028
110,0.86044
111,0.86024
112,0.85972
113,0.85796
114,0.86044
115,0.86044
116,0.86108
117,0.86224
118,0.86156
119,0.8618
120,0.85876
121,0.85984
122,0.861
123,0.86156
124,0.86216
125,0.86192
126,0.86252
127,0.86028
128,0.86168
129,0.86024
130,0.86028
131,0.8624
132,0.86212
133,0.86144
134,0.86216
135,0.86108
136,0.8622
137,0.86232
138,0.86088
139,0.86076
140,0.86252
141,0.86136
142,0.86088
143,0.86212
144,0.86264
145,0.86136
146,0.86156
147,0.86168
148,0.86208
149,0.8628
150,0.86084
151,0.86312
152,0.86224
153,0.86192
154,0.86024
155,0.86212
156,0.86284
157,0.86228
158,0.86264
159,0.86388
160,0.86232
161,0.86312
162,0.86336
163,0.86248
164,0.86112
165,0.86304
166,0.86276
167,0.86312
168,0.86356
169,0.86224
170,0.86332
171,0.86244
172,0.86156
173,0.86236
174,0.86232
175,0.86268
176,0.86172
177,0.86304
178,0.86324
179,0.86336
180,0.86164
181,0.8618
182,0.86308
183,0.863
184,0.86212
185,0.8628
186,0.8634
187,0.86348
188,0.86448
189,0.8604
190,0.86256
191,0.86396
192,0.86388
193,0.86272
194,0.86388
195,0.86248
196,0.863
197,0.86432
198,0.86372
199,0.86412
200,0.86396
201,0.86456
202,0.86388
203,0.86448
204,0.86352
205,0.86496
206,0.86464
207,0.8632
208,0.86384
209,0.86396
210,0.86428
211,0.86412
212,0.86472
213,0.86292
214,0.86312
215,0.86196
216,0.86404
217,0.86404
218,0.86248
219,0.86412
220,0.86456
221,0.86464
222,0.86312
223,0.86488
224,0.86344
225,0.86472
226,0.864
227,0.8636
228,0.86472
229,0.8638
230,0.86324
231,0.86412
232,0.86524
233,0.86432
234,0.86452
235,0.86256
236,0.86112
237,0.86436
238,0.86436
239,0.86464
240,0.86376
241,0.86496
242,0.86328
243,0.86312
244,0.86408
245,0.86536
246,0.864
247,0.86468
248,0.86408
249,0.86032
250,0.86436
251,0.86404
252,0.86536
253,0.86396
254,0.86576
255,0.864
256,0.86356
257,0.86252
258,0.86272
259,0.86468
260,0.86492
261,0.86472
262,0.86408
263,0.86372
264,0.86444
265,0.86552
266,0.86424
267,0.86448
268,0.86432
269,0.86592
270,0.86464
271,0.86236
272,0.8642
273,0.8648
274,0.86572
275,0.86472
276,0.86528
277,0.8634
278,0.86524
279,0.86468
280,0.86552
281,0.86548
282,0.86592
283,0.8654
284,0.86648
285,0.8656
286,0.86556
287,0.86464
288,0.86504
289,0.86492
290,0.86672
291,0.86336
292,0.86472
293,0.8662
294,0.86432
295,0.86524
296,0.86572
297,0.86532
298,0.86468
299,0.8656
300,0.86516
301,0.86448
302,0.86544
303,0.86556
304,0.86444
305,0.8648
306,0.86652
307,0.8636
308,0.86464
309,0.86628
310,0.8656
311,0.86452
312,0.86592
313,0.86508
314,0.86468
315,0.86572
316,0.865
317,0.86172
318,0.86264
319,0.86496
320,0.86424
321,0.86552
322,0.86596
323,0.8654
324,0.86464
325,0.86588
326,0.86572
327,0.86236
328,0.86372
329,0.86504
330,0.86492
331,0.8656
332,0.866
333,0.86464
334,0.86408
335,0.86536
336,0.86416
337,0.86528
338,0.86588
339,0.86592
340,0.86536
341,0.86668
342,0.86528
343,0.86272
344,0.8658
345,0.8662
346,0.86544
347,0.86672
348,0.86396
349,0.86564
350,0.86576
351,0.86608
352,0.86612
353,0.8646
354,0.8658
355,0.86624
356,0.8652
357,0.86636
358,0.86576
359,0.86456
360,0.86508
361,0.86612
362,0.86544
363,0.866
364,0.86444
365,0.86444
366,0.86636
367,0.86656
368,0.86576
369,0.86628
370,0.8642
371,0.86612
372,0.8648
373,0.86604
374,0.86528
375,0.86676
376,0.8654
377,0.8664
378,0.86644
379,0.86612
380,0.8666
381,0.86696
382,0.86508
383,0.8654
384,0.86688
385,0.86696
386,0.86552
387,0.86516
388,0.86564
389,0.86552
390,0.8668
391,0.86632
392,0.866
393,0.86552
394,0.86576
395,0.8668
396,0.86672
397,0.8644
398,0.86516
399,0.867
400,0.86704
401,0.86604
402,0.86536
403,0.8674
404,0.86664
405,0.8656
406,0.8662
407,0.86628
408,0.86528
409,0.8654
410,0.8656
411,0.86724
412,0.8658
413,0.86536
414,0.86576
415,0.86628
416,0.8654
417,0.8652
418,0.86696
419,0.86712
420,0.86636
421,0.86716
422,0.8654
423,0.86692
424,0.86656
425,0.86692
426,0.86616
427,0.86544
428,0.866
429,0.86604
430,0.86612
431,0.86692
432,0.86552
433,0.86664
434,0.866
435,0.86496
436,0.86544
437,0.86624
438,0.8668
439,0.86708
440,0.86744
441,0.86716
442,0.86488
443,0.86672
444,0.8666
445,0.86668
446,0.86676
447,0.86556
448,0.86624
449,0.86616
450,0.86744
451,0.86668
452,0.86512
453,0.86664
454,0.86588
455,0.86636
456,0.86556
457,0.86588
458,0.8666
459,0.86452
460,0.86716
461,0.86556
462,0.86628
463,0.8648
464,0.86688
465,0.86516
466,0.86552
467,0.8668
468,0.8646
469,0.8664
470,0.86576
471,0.86484
472,0.86552
473,0.8662
474,0.86604
475,0.86696
476,0.86716
477,0.86272
478,0.86724
479,0.86748
480,0.86672
481,0.86716
482,0.86756
483,0.86624
484,0.86652
485,0.8652
486,0.86668
487,0.8676
488,0.86372
489,0.86452
490,0.86756
491,0.86708
492,0.86716
493,0.86596
494,0.86708
495,0.86468
496,0.86544
497,0.86736
498,0.86548
499,0.86692
