,acc
0,0.75936
1,0.75936
2,0.83252
3,0.83508
4,0.83888
5,0.83872
6,0.8422
7,0.83868
8,0.83872
9,0.84464
10,0.844
11,0.84712
12,0.84732
13,0.84796
14,0.84816
15,0.84852
16,0.84816
17,0.85016
18,0.85244
19,0.85176
20,0.85232
21,0.85228
22,0.85128
23,0.85136
24,0.85148
25,0.85336
26,0.85164
27,0.85144
28,0.85396
29,0.85244
30,0.8526
31,0.8522
32,0.85384
33,0.85196
34,0.854
35,0.8532
36,0.85352
37,0.85244
38,0.85092
39,0.85464
40,0.85428
41,0.8526
42,0.8528
43,0.8552
44,0.85332
45,0.85424
46,0.85264
47,0.85448
48,0.85616
49,0.85376
50,0.85528
51,0.85324
52,0.856
53,0.85308
54,0.85596
55,0.85572
56,0.85632
57,0.85212
58,0.85232
59,0.85396
60,0.8528
61,0.85572
62,0.85452
63,0.85148
64,0.85504
65,0.85692
66,0.85256
67,0.85528
68,0.85436
69,0.85556
70,0.85296
71,0.85228
72,0.8538
73,0.85312
74,0.85516
75,0.85492
76,0.85504
77,0.85608
78,0.85564
79,0.8554
80,0.85476
81,0.85424
82,0.85504
83,0.85564
84,0.85684
85,0.854
86,0.8552
87,0.85724
88,0.8562
89,0.85604
90,0.8568
91,0.85792
92,0.85644
93,0.85756
94,0.85572
95,0.85552
96,0.85824
97,0.85512
98,0.857
99,0.8572
100,0.85596
101,0.85416
102,0.85704
103,0.857
104,0.85712
105,0.85768
106,0.85452
107,0.85736
108,0.8572
109,0.85584
110,0.85768
111,0.85328
112,0.85476
113,0.85556
114,0.85772
115,0.8582
116,0.85952
117,0.85712
118,0.85912
119,0.85532
120,0.8578
121,0.85724
122,0.85588
123,0.85432
124,0.85788
125,0.85756
126,0.85776
127,0.85772
128,0.85544
129,0.85848
130,0.85732
131,0.8592
132,0.85708
133,0.85588
134,0.85652
135,0.85424
136,0.85664
137,0.85608
138,0.85832
139,0.85788
140,0.85824
141,0.8566
142,0.85964
143,0.85748
144,0.8564
145,0.85788
146,0.85772
147,0.859
148,0.85908
149,0.85868
150,0.85964
151,0.8602
152,0.8606
153,0.861
154,0.8606
155,0.85592
156,0.85848
157,0.85612
158,0.86044
159,0.86116
160,0.85868
161,0.86004
162,0.8588
163,0.86016
164,0.86148
165,0.8592
166,0.8602
167,0.86012
168,0.86112
169,0.861
170,0.85636
171,0.86036
172,0.86004
173,0.86036
174,0.85896
175,0.85932
176,0.86152
177,0.86208
178,0.8574
179,0.86132
180,0.86216
181,0.86072
182,0.86104
183,0.86064
184,0.86192
185,0.85772
186,0.86168
187,0.86068
188,0.86116
189,0.8614
190,0.86196
191,0.8632
192,0.86144
193,0.86068
194,0.86156
195,0.8598
196,0.8606
197,0.85984
198,0.862
199,0.86184
200,0.8626
201,0.86188
202,0.86372
203,0.86172
204,0.86308
205,0.86132
206,0.85844
207,0.86128
208,0.8628
209,0.86228
210,0.86104
211,0.8616
212,0.86048
213,0.8626
214,0.86276
215,0.86124
216,0.86164
217,0.86016
218,0.86332
219,0.8614
220,0.86288
221,0.8624
222,0.86216
223,0.86228
224,0.86156
225,0.8614
226,0.863
227,0.86208
228,0.86088
229,0.8622
230,0.861
231,0.85952
232,0.86104
233,0.8598
234,0.86228
235,0.86312
236,0.86256
237,0.86112
238,0.8624
239,0.86268
240,0.86168
241,0.8646
242,0.86292
243,0.8642
244,0.85988
245,0.86196
246,0.86288
247,0.86428
248,0.8634
249,0.86252
250,0.86252
251,0.86072
252,0.86268
253,0.86372
254,0.86232
255,0.86344
256,0.86328
257,0.85956
258,0.86224
259,0.8612
260,0.86272
261,0.8612
262,0.86264
263,0.86464
264,0.86376
265,0.86112
266,0.8638
267,0.86292
268,0.86296
269,0.86064
270,0.86208
271,0.86188
272,0.86208
273,0.86232
274,0.86128
275,0.86228
276,0.86348
277,0.863
278,0.86324
279,0.86368
280,0.8634
281,0.86476
282,0.86216
283,0.86352
284,0.86396
285,0.86292
286,0.86488
287,0.85964
288,0.86292
289,0.86436
290,0.85932
291,0.86268
292,0.86264
293,0.8642
294,0.8646
295,0.86048
296,0.8614
297,0.86184
298,0.86368
299,0.865
300,0.8636
301,0.86296
302,0.86388
303,0.86448
304,0.86336
305,0.8642
306,0.86328
307,0.8636
308,0.86344
309,0.86408
310,0.86252
311,0.86436
312,0.8642
313,0.86312
314,0.85932
315,0.86328
316,0.86236
317,0.86384
318,0.86448
319,0.8596
320,0.86096
321,0.86052
322,0.86164
323,0.86196
324,0.86228
325,0.86076
326,0.8606
327,0.86384
328,0.86336
329,0.86404
330,0.86468
331,0.86416
332,0.8638
333,0.8642
334,0.8646
335,0.8644
336,0.86604
337,0.86452
338,0.8642
339,0.86388
340,0.86188
341,0.86184
342,0.8622
343,0.86236
344,0.8634
345,0.86276
346,0.86084
347,0.86136
348,0.86496
349,0.86304
350,0.86308
351,0.86356
352,0.86472
353,0.86228
354,0.86528
355,0.86496
356,0.86272
357,0.86332
358,0.86348
359,0.86308
360,0.86452
361,0.86072
362,0.866
363,0.86536
364,0.86636
365,0.86188
366,0.86508
367,0.86124
368,0.86472
369,0.86168
370,0.86368
371,0.8642
372,0.86336
373,0.86272
374,0.8578
375,0.86248
376,0.86516
377,0.86264
378,0.86252
379,0.86176
380,0.86384
381,0.86212
382,0.86268
383,0.86452
384,0.8654
385,0.86408
386,0.86476
387,0.86344
388,0.8638
389,0.86236
390,0.86544
391,0.8644
392,0.86592
393,0.8636
394,0.86576
395,0.86472
396,0.86184
397,0.86176
398,0.86268
399,0.862
400,0.86416
401,0.86536
402,0.86428
403,0.86692
404,0.86288
405,0.85412
406,0.86416
407,0.86556
408,0.86356
409,0.86216
410,0.86428
411,0.86572
412,0.86268
413,0.86584
414,0.86564
415,0.86596
416,0.86452
417,0.86464
418,0.86416
419,0.86604
420,0.86372
421,0.864
422,0.86408
423,0.86368
424,0.86444
425,0.86632
426,0.8646
427,0.8634
428,0.86304
429,0.86288
430,0.86424
431,0.86572
432,0.86188
433,0.86484
434,0.86528
435,0.86312
436,0.86328
437,0.86528
438,0.8602
439,0.86252
440,0.86408
441,0.86524
442,0.86416
443,0.8628
444,0.86448
445,0.86348
446,0.86264
447,0.86064
448,0.86396
449,0.8616
450,0.86572
451,0.86396
452,0.865
453,0.86404
454,0.86596
455,0.86424
456,0.86624
457,0.86556
458,0.86444
459,0.86696
460,0.86604
461,0.86356
462,0.86644
463,0.86628
464,0.86592
465,0.86632
466,0.8638
467,0.86628
468,0.86524
469,0.86696
470,0.8642
471,0.86552
472,0.86832
473,0.8662
474,0.86596
475,0.86724
476,0.866
477,0.86424
478,0.86472
479,0.86532
480,0.86388
481,0.86588
482,0.86448
483,0.8638
484,0.86548
485,0.86468
486,0.86712
487,0.86712
488,0.86688
489,0.86792
490,0.86516
491,0.86332
492,0.86676
493,0.86312
494,0.86576
495,0.86408
496,0.86536
497,0.8628
498,0.85916
499,0.86268
