,acc
0,0.84432
1,0.84928
2,0.84968
3,0.85004
4,0.8504
5,0.85344
6,0.85212
7,0.85256
8,0.85232
9,0.85456
10,0.85184
11,0.85196
12,0.8544
13,0.85348
14,0.85608
15,0.85728
16,0.85772
17,0.8568
18,0.8572
19,0.85756
20,0.85764
21,0.857
22,0.85764
23,0.85844
24,0.85776
25,0.8588
26,0.85908
27,0.85992
28,0.86004
29,0.86172
30,0.86016
31,0.8576
32,0.85964
33,0.86128
34,0.86208
35,0.86192
36,0.86116
37,0.86172
38,0.861
39,0.86276
40,0.86324
41,0.86372
42,0.86344
43,0.86204
44,0.86304
45,0.864
46,0.86276
47,0.86392
48,0.86388
49,0.86324
50,0.86372
51,0.86472
52,0.86392
53,0.863
54,0.86196
55,0.86472
56,0.86288
57,0.86604
58,0.86456
59,0.8602
60,0.8654
61,0.8634
62,0.86288
63,0.8638
64,0.863
65,0.86556
66,0.86464
67,0.86472
68,0.86216
69,0.8652
70,0.8656
71,0.86184
72,0.86416
73,0.86596
74,0.86584
75,0.8652
76,0.86608
77,0.86516
78,0.86672
79,0.86564
80,0.86592
81,0.86504
82,0.86676
83,0.86368
84,0.8676
85,0.8654
86,0.86068
87,0.86524
88,0.86684
89,0.86304
90,0.8658
91,0.86588
92,0.8664
93,0.86516
94,0.86484
95,0.86392
96,0.86504
97,0.86716
98,0.86664
99,0.86628
100,0.86596
101,0.86516
102,0.86652
103,0.86576
104,0.86712
105,0.867
106,0.86536
107,0.8676
108,0.8674
109,0.867
110,0.8688
111,0.86772
112,0.868
113,0.86676
114,0.86784
115,0.8634
116,0.8676
117,0.86724
118,0.86804
119,0.8684
120,0.8656
121,0.86792
122,0.86748
123,0.87016
124,0.8666
125,0.86868
126,0.86596
127,0.86772
128,0.8674
129,0.86564
130,0.86612
131,0.86604
132,0.86876
133,0.86796
134,0.86344
135,0.867
136,0.8698
137,0.86804
138,0.86876
139,0.8654
140,0.86672
141,0.86796
142,0.8686
143,0.86928
144,0.86744
145,0.8684
146,0.86508
147,0.86928
148,0.8704
149,0.86872
150,0.86692
151,0.86872
152,0.86996
153,0.86808
154,0.86728
155,0.8678
156,0.8694
157,0.86812
158,0.86888
159,0.86788
160,0.8692
161,0.86964
162,0.87044
163,0.86816
164,0.86876
165,0.87052
166,0.86964
167,0.8698
168,0.86712
169,0.86908
170,0.8678
171,0.86704
172,0.87024
173,0.86984
174,0.87072
175,0.8708
176,0.8696
177,0.871
178,0.87124
179,0.87184
180,0.86944
181,0.86688
182,0.86864
183,0.87084
184,0.86856
185,0.86996
186,0.87064
187,0.87164
188,0.86668
189,0.86944
190,0.86684
191,0.87148
192,0.868
193,0.872
194,0.871
195,0.87108
196,0.87152
197,0.8682
198,0.86972
199,0.86988
200,0.87036
201,0.8682
202,0.8732
203,0.87232
204,0.86848
205,0.87104
206,0.87196
207,0.87172
208,0.87096
209,0.8718
210,0.87072
211,0.87276
212,0.87152
213,0.87004
214,0.87112
215,0.87252
216,0.87312
217,0.87228
218,0.87068
219,0.87028
220,0.8722
221,0.87328
222,0.87072
223,0.8718
224,0.8706
225,0.86956
226,0.87116
227,0.87156
228,0.87108
229,0.87208
230,0.87192
231,0.87064
232,0.8734
233,0.87088
234,0.8716
235,0.87272
236,0.87268
237,0.871
238,0.86912
239,0.87176
240,0.872
241,0.87272
242,0.87276
243,0.87224
244,0.87268
245,0.87328
246,0.8706
247,0.8696
248,0.87352
249,0.86964
250,0.87296
251,0.87044
