,acc
0,0.75936
1,0.75936
2,0.75936
3,0.83492
4,0.83832
5,0.83568
6,0.8416
7,0.84128
8,0.84232
9,0.84276
10,0.84668
11,0.84624
12,0.84672
13,0.84824
14,0.84912
15,0.84868
16,0.84916
17,0.84932
18,0.8504
19,0.84936
20,0.84896
21,0.8494
22,0.84732
23,0.8514
24,0.85056
25,0.84916
26,0.84824
27,0.85004
28,0.84972
29,0.85156
30,0.85132
31,0.85032
32,0.85284
33,0.85012
34,0.85212
35,0.85056
36,0.85456
37,0.85172
38,0.85028
39,0.85124
40,0.85144
41,0.85112
42,0.85244
43,0.854
44,0.85308
45,0.85384
46,0.85492
47,0.8536
48,0.85212
49,0.85352
50,0.85204
51,0.85556
52,0.85456
53,0.85324
54,0.85588
55,0.85492
56,0.85516
57,0.85304
58,0.85548
59,0.85
60,0.85404
61,0.85304
62,0.85496
63,0.85244
64,0.85464
65,0.85296
66,0.8546
67,0.85196
68,0.85268
69,0.85536
70,0.85172
71,0.85568
72,0.85404
73,0.85668
74,0.8554
75,0.8554
76,0.85476
77,0.85652
78,0.85412
79,0.85496
80,0.8546
81,0.85536
82,0.85636
83,0.85528
84,0.85284
85,0.85648
86,0.85628
87,0.85508
88,0.85556
89,0.85592
90,0.85736
91,0.85576
92,0.85424
93,0.85628
94,0.85692
95,0.85508
96,0.85672
97,0.85092
98,0.85644
99,0.8556
100,0.85516
101,0.85688
102,0.85652
103,0.85692
104,0.85644
105,0.85672
106,0.85708
107,0.855
108,0.85736
109,0.85756
110,0.85664
111,0.85692
112,0.85604
113,0.85784
114,0.85752
115,0.85616
116,0.85656
117,0.85612
118,0.85552
119,0.85716
120,0.85824
121,0.85796
122,0.85772
123,0.8584
124,0.85712
125,0.85804
126,0.85808
127,0.85616
128,0.85776
129,0.85752
130,0.8574
131,0.85792
132,0.85728
133,0.85836
134,0.8556
135,0.85812
136,0.85896
137,0.85632
138,0.85672
139,0.85936
140,0.8594
141,0.85868
142,0.85908
143,0.85724
144,0.85872
145,0.85696
146,0.8574
147,0.8578
148,0.85784
149,0.85892
150,0.85792
151,0.85824
152,0.85872
153,0.85784
154,0.85712
155,0.857
156,0.85884
157,0.85496
158,0.85848
159,0.85876
160,0.85952
161,0.8598
162,0.85972
163,0.85968
164,0.85916
165,0.85784
166,0.8594
167,0.8602
168,0.86012
169,0.85892
170,0.86012
171,0.86108
172,0.8586
173,0.8606
174,0.85848
175,0.86064
176,0.85792
177,0.85972
178,0.85968
179,0.86076
180,0.859
181,0.85908
182,0.86008
183,0.8582
184,0.85944
185,0.85828
186,0.85892
187,0.86024
188,0.85956
189,0.86004
190,0.86156
191,0.86004
192,0.86004
193,0.85916
194,0.86096
195,0.859
196,0.86004
197,0.86148
198,0.86064
199,0.86
200,0.85928
201,0.86024
202,0.8598
203,0.86116
204,0.85992
205,0.86104
206,0.86056
207,0.86196
208,0.85876
209,0.86076
210,0.86056
211,0.86104
212,0.8602
213,0.86128
214,0.86164
215,0.86088
216,0.85968
217,0.85948
218,0.8616
219,0.86168
220,0.86148
221,0.85988
222,0.86036
223,0.86016
224,0.86056
225,0.86076
226,0.8598
227,0.85924
228,0.861
229,0.86064
230,0.86236
231,0.86028
232,0.86104
233,0.86276
234,0.86012
235,0.86104
236,0.86256
237,0.8604
238,0.86228
239,0.86212
240,0.8624
241,0.86188
242,0.86176
243,0.8632
244,0.86064
245,0.86192
246,0.86252
247,0.86188
248,0.86232
249,0.86276
250,0.86228
251,0.8624
252,0.86216
253,0.86348
254,0.8628
255,0.86288
256,0.86116
257,0.8628
258,0.86344
259,0.86264
260,0.86172
261,0.86204
262,0.86212
263,0.86144
264,0.8602
265,0.86212
266,0.8606
267,0.85992
268,0.86212
269,0.86256
270,0.86204
271,0.862
272,0.86288
273,0.86232
274,0.86336
275,0.86264
276,0.86064
277,0.86272
278,0.86276
279,0.86308
280,0.86468
281,0.86344
282,0.8642
283,0.86432
284,0.86396
285,0.86488
286,0.8652
287,0.86444
288,0.8654
289,0.86496
290,0.86296
291,0.86368
292,0.86412
293,0.86416
294,0.86244
295,0.86432
296,0.8634
297,0.86288
298,0.86512
299,0.86264
300,0.8616
301,0.86376
302,0.863
303,0.86492
304,0.86404
305,0.86488
306,0.86148
307,0.86428
308,0.86432
309,0.86368
310,0.86464
311,0.86268
312,0.86352
313,0.86376
314,0.86332
315,0.86344
316,0.86348
317,0.86324
318,0.86224
319,0.86204
320,0.86168
321,0.86152
322,0.8612
323,0.86372
324,0.86268
325,0.86132
326,0.86272
327,0.86288
328,0.85744
329,0.86232
330,0.86116
331,0.86368
332,0.862
333,0.86168
334,0.86172
335,0.8628
336,0.86144
337,0.86252
338,0.86184
339,0.86328
340,0.8608
341,0.86296
342,0.86132
343,0.86188
344,0.86308
345,0.86188
346,0.86156
347,0.86404
348,0.86292
349,0.86384
350,0.86
351,0.86248
352,0.86344
353,0.86204
354,0.86144
355,0.86368
356,0.86244
357,0.86272
358,0.86256
359,0.8626
360,0.86368
361,0.86124
362,0.86384
363,0.86352
364,0.8574
365,0.86332
366,0.8634
367,0.86288
368,0.86348
369,0.8624
370,0.86232
371,0.863
372,0.86316
373,0.86356
374,0.8624
375,0.86296
376,0.86072
377,0.86112
378,0.86072
379,0.86208
380,0.86268
381,0.86384
382,0.86132
383,0.86356
384,0.86232
385,0.86536
386,0.86132
387,0.8636
388,0.86052
389,0.86088
390,0.86196
391,0.86224
392,0.8642
393,0.8628
394,0.86288
395,0.86084
396,0.8618
397,0.86384
398,0.86236
399,0.86244
400,0.86352
401,0.86424
402,0.86024
403,0.86296
404,0.86288
405,0.86216
406,0.863
407,0.86068
408,0.86208
409,0.86324
410,0.86304
411,0.86232
412,0.86328
413,0.86372
414,0.86336
415,0.86344
416,0.864
417,0.86208
418,0.8632
419,0.86272
420,0.86224
421,0.86344
422,0.85984
423,0.8618
424,0.86152
425,0.86428
426,0.86304
427,0.8596
428,0.86268
429,0.86392
430,0.86404
431,0.8628
432,0.86188
433,0.86264
434,0.8648
435,0.86444
436,0.86416
437,0.86488
438,0.8634
439,0.8644
440,0.86072
441,0.86416
442,0.86544
443,0.8648
444,0.8648
445,0.8644
446,0.86484
447,0.8628
448,0.86368
449,0.86388
450,0.86236
451,0.86252
452,0.86352
453,0.86464
454,0.86472
455,0.86424
456,0.86576
457,0.8622
458,0.8648
459,0.86448
460,0.86168
461,0.86268
462,0.86372
463,0.86564
464,0.86508
465,0.86476
466,0.8622
467,0.86464
468,0.86388
469,0.86388
470,0.8626
471,0.86196
472,0.86316
473,0.86308
474,0.86308
475,0.8642
476,0.8644
477,0.86424
478,0.86352
479,0.86428
480,0.86388
481,0.86244
482,0.86588
483,0.86192
484,0.86508
485,0.86564
486,0.86516
487,0.86296
488,0.865
489,0.86416
490,0.86448
491,0.8628
492,0.8642
493,0.8642
494,0.8644
495,0.8636
496,0.86364
497,0.86296
498,0.86368
499,0.86384
