,acc
0,0.84472
1,0.84576
2,0.85208
3,0.85416
4,0.85076
5,0.85376
6,0.85268
7,0.85524
8,0.85376
9,0.85648
10,0.858
11,0.85776
12,0.85852
13,0.85148
14,0.85956
15,0.86036
16,0.86012
17,0.86212
18,0.8614
19,0.8612
20,0.8618
21,0.86352
22,0.86448
23,0.8642
24,0.86504
25,0.85876
26,0.866
27,0.86472
28,0.866
29,0.86712
30,0.86616
31,0.86524
32,0.86732
33,0.86548
34,0.8662
35,0.8662
36,0.86988
37,0.86868
38,0.86448
39,0.86936
40,0.86832
41,0.8688
42,0.8698
43,0.87
44,0.87344
45,0.87156
46,0.86988
47,0.86684
48,0.87296
49,0.8698
50,0.87368
51,0.87324
52,0.87536
53,0.87532
54,0.87364
55,0.87264
56,0.87332
57,0.87536
58,0.87476
59,0.877
60,0.87716
61,0.87532
62,0.87164
63,0.87584
64,0.87524
65,0.87784
66,0.87992
67,0.87848
68,0.87932
69,0.87728
70,0.8806
71,0.88068
72,0.88144
73,0.8776
74,0.88024
75,0.8784
76,0.881
77,0.88008
78,0.88064
79,0.88308
80,0.88384
81,0.87688
82,0.8848
83,0.88524
84,0.879
85,0.8766
86,0.88452
87,0.88444
88,0.88436
89,0.87616
90,0.88596
91,0.88456
92,0.8832
93,0.88312
94,0.88584
95,0.88704
96,0.88876
97,0.88824
98,0.88304
99,0.88552
100,0.88608
101,0.88992
102,0.8902
103,0.87816
104,0.89016
105,0.8896
106,0.88688
107,0.89076
108,0.8884
109,0.88916
110,0.89324
111,0.8946
112,0.89288
113,0.89424
114,0.88784
115,0.8934
116,0.88328
117,0.89376
118,0.8936
119,0.89248
120,0.89156
121,0.8924
122,0.89616
123,0.89884
124,0.89316
125,0.89252
126,0.8968
127,0.89656
128,0.90056
129,0.89716
130,0.89908
131,0.8926
132,0.89864
133,0.89784
134,0.89384
135,0.89736
136,0.8914
137,0.8994
138,0.89556
139,0.89488
140,0.89568
141,0.90024
142,0.89828
143,0.90124
144,0.89504
145,0.89812
146,0.88348
147,0.9006
148,0.89812
149,0.90244
150,0.90108
151,0.89852
152,0.9026
153,0.90168
154,0.90148
155,0.89284
156,0.90008
157,0.9022
158,0.90288
159,0.90556
160,0.90248
161,0.90412
162,0.90448
163,0.89708
164,0.90096
165,0.8976
166,0.90516
167,0.90236
168,0.90268
169,0.9074
170,0.90224
171,0.90536
172,0.9066
173,0.90768
174,0.90268
175,0.90404
176,0.906
177,0.90684
178,0.90704
179,0.90248
180,0.9048
181,0.90756
182,0.90452
183,0.90956
184,0.90624
185,0.90956
186,0.90684
187,0.90464
188,0.90668
189,0.90944
190,0.90376
191,0.90612
192,0.90656
193,0.89216
194,0.89984
195,0.90708
196,0.9042
197,0.9004
198,0.90664
199,0.90476
200,0.90484
201,0.90996
202,0.91072
203,0.90328
204,0.9076
205,0.9116
206,0.90816
207,0.90424
208,0.91252
209,0.90776
210,0.90956
211,0.905
212,0.90808
213,0.9132
214,0.90852
215,0.9104
216,0.90896
217,0.90808
218,0.91312
219,0.90912
220,0.904
221,0.90152
222,0.90492
223,0.90896
224,0.91156
225,0.909
226,0.90532
227,0.90908
228,0.90472
229,0.90436
230,0.91348
231,0.90468
232,0.9144
233,0.91032
234,0.91204
235,0.91076
236,0.916
237,0.91192
238,0.91304
239,0.9144
240,0.90412
241,0.91176
242,0.90564
243,0.91036
244,0.91496
245,0.91568
246,0.91484
247,0.9146
248,0.9176
249,0.90816
250,0.9124
251,0.9126
252,0.90868
253,0.91724
254,0.9158
255,0.9144
256,0.91964
257,0.90856
258,0.90652
259,0.91552
260,0.91372
261,0.91792
262,0.91116
263,0.91692
264,0.91284
265,0.91856
266,0.91504
267,0.91856
268,0.91664
269,0.91468
270,0.8892
271,0.91404
272,0.91364
273,0.90896
274,0.91836
275,0.9126
276,0.91244
277,0.917
278,0.91764
279,0.90324
280,0.9088
281,0.92348
282,0.91896
283,0.921
284,0.91468
285,0.91424
286,0.91888
287,0.9176
288,0.91752
289,0.91032
290,0.91584
291,0.9208
292,0.91936
293,0.91588
294,0.91824
295,0.91724
296,0.91772
297,0.91356
298,0.912
299,0.91644
300,0.91392
301,0.91712
302,0.92216
303,0.92112
304,0.92096
305,0.92152
306,0.91848
307,0.91548
308,0.9168
309,0.91596
310,0.91516
311,0.916
312,0.9182
313,0.91856
314,0.9176
315,0.91656
316,0.91564
317,0.91592
318,0.91436
319,0.91264
320,0.91596
321,0.91856
322,0.91984
323,0.92044
324,0.91712
325,0.91632
326,0.9146
327,0.918
328,0.91568
329,0.91308
330,0.9016
331,0.91724
332,0.91724
333,0.91912
334,0.91
335,0.91524
336,0.92084
337,0.92
338,0.91756
339,0.92492
340,0.9178
341,0.92212
342,0.9192
343,0.9138
344,0.92048
