,acc
0,0.8418
1,0.84724
2,0.84964
3,0.84872
4,0.85124
5,0.85164
6,0.85248
7,0.8532
8,0.85044
9,0.85484
10,0.8548
11,0.8536
12,0.85572
13,0.85508
14,0.85568
15,0.85676
16,0.85668
17,0.85812
18,0.85592
19,0.85896
20,0.85872
21,0.85996
22,0.86
23,0.85956
24,0.85736
25,0.86212
26,0.86084
27,0.85876
28,0.86208
29,0.85832
30,0.8594
31,0.86272
32,0.86276
33,0.86168
34,0.8632
35,0.8596
36,0.86196
37,0.8644
38,0.86484
39,0.86464
40,0.86364
41,0.86576
42,0.86456
43,0.86372
44,0.86668
45,0.86596
46,0.86732
47,0.8672
48,0.86616
49,0.86812
50,0.86796
51,0.8652
52,0.86768
53,0.86864
54,0.86784
55,0.86736
56,0.86856
57,0.86788
58,0.86772
59,0.86736
60,0.86876
61,0.86896
62,0.86904
63,0.86996
64,0.86868
65,0.86948
66,0.87104
67,0.86964
68,0.8696
69,0.8704
70,0.87124
71,0.86952
72,0.87048
73,0.87116
74,0.86836
75,0.8674
76,0.87008
77,0.87016
78,0.87252
79,0.87264
80,0.86964
81,0.86832
82,0.87192
83,0.86796
84,0.8726
85,0.8676
86,0.87448
87,0.87424
88,0.87412
89,0.87284
90,0.87472
91,0.87272
92,0.8738
93,0.873
94,0.86968
95,0.86728
96,0.87288
97,0.87352
98,0.8762
99,0.87604
100,0.87504
101,0.87228
102,0.86784
103,0.87584
104,0.87564
105,0.87324
106,0.87104
107,0.87676
108,0.87348
109,0.87536
110,0.87596
111,0.8756
112,0.8764
113,0.87504
114,0.87252
115,0.8776
116,0.8752
117,0.8748
118,0.87648
119,0.87876
120,0.87656
121,0.87236
122,0.87848
123,0.87748
124,0.87928
125,0.8732
126,0.87996
127,0.8794
128,0.87972
129,0.87888
130,0.87756
131,0.88024
132,0.87536
133,0.87552
134,0.8808
135,0.87976
136,0.8814
137,0.88064
138,0.87828
139,0.87628
140,0.8724
141,0.8734
142,0.881
143,0.88108
144,0.88116
145,0.8792
146,0.8778
147,0.8792
148,0.88072
149,0.8786
150,0.88268
151,0.87832
152,0.87916
153,0.8842
154,0.88168
155,0.87904
156,0.88028
157,0.88096
158,0.87992
159,0.88212
160,0.88148
161,0.87924
162,0.87804
163,0.87924
164,0.88176
165,0.88128
166,0.88432
167,0.88232
168,0.88228
169,0.88016
170,0.88096
171,0.8834
172,0.88236
173,0.8838
174,0.88336
175,0.88236
176,0.88508
177,0.88644
178,0.88288
179,0.8824
180,0.88272
181,0.88308
182,0.87992
183,0.88404
184,0.88164
185,0.88396
186,0.88392
187,0.88656
188,0.87964
189,0.8854
190,0.8846
191,0.88552
192,0.88404
193,0.8854
194,0.88756
195,0.88304
196,0.8834
197,0.87912
198,0.88608
199,0.88636
200,0.88412
201,0.88268
202,0.8838
203,0.88548
204,0.88424
205,0.88136
206,0.8872
207,0.8852
208,0.88592
209,0.88692
210,0.88352
211,0.8858
212,0.88344
213,0.88444
214,0.8854
215,0.88328
216,0.88428
217,0.88704
218,0.8862
219,0.8856
220,0.88572
221,0.885
