,acc
0,0.75936
1,0.75936
2,0.75936
3,0.75936
4,0.75936
5,0.75936
6,0.82136
7,0.8386
8,0.84388
9,0.84828
10,0.84712
11,0.8488
12,0.84876
13,0.84852
14,0.85028
15,0.85048
16,0.85128
17,0.85244
18,0.85328
19,0.8514
20,0.8518
21,0.8518
22,0.85244
23,0.8508
24,0.85388
25,0.85252
26,0.85396
27,0.85304
28,0.85244
29,0.85544
30,0.8538
31,0.855
32,0.85256
33,0.8528
34,0.85556
35,0.8556
36,0.85552
37,0.85344
38,0.85632
39,0.85424
40,0.85424
41,0.85496
42,0.85588
43,0.85516
44,0.85436
45,0.85252
46,0.85488
47,0.85568
48,0.85472
49,0.85408
50,0.856
51,0.8568
52,0.8506
53,0.8574
54,0.85464
55,0.85504
56,0.85272
57,0.85748
58,0.85652
59,0.85636
60,0.85492
61,0.85676
62,0.85344
63,0.85776
64,0.85608
65,0.8574
66,0.8568
67,0.85632
68,0.8576
69,0.8566
70,0.8586
71,0.85804
72,0.85756
73,0.85796
74,0.858
75,0.856
76,0.85744
77,0.85864
78,0.85664
79,0.85572
80,0.85508
81,0.85864
82,0.8562
83,0.85476
84,0.85664
85,0.85736
86,0.85692
87,0.85548
88,0.85792
89,0.85728
90,0.857
91,0.8576
92,0.85608
93,0.85708
94,0.85888
95,0.8594
96,0.85904
97,0.85872
98,0.859
99,0.85864
100,0.85876
101,0.85856
102,0.8604
103,0.85576
104,0.85856
105,0.85728
106,0.85556
107,0.85764
108,0.85788
109,0.85792
110,0.85864
111,0.85816
112,0.85744
113,0.8586
114,0.85856
115,0.85968
116,0.85876
117,0.8582
118,0.85756
119,0.86024
120,0.8594
121,0.85848
122,0.85804
123,0.8578
124,0.85856
125,0.85864
126,0.85888
127,0.85712
128,0.85836
129,0.85796
130,0.85936
131,0.8582
132,0.85816
133,0.86148
134,0.85948
135,0.85972
136,0.85956
137,0.859
138,0.86016
139,0.8568
140,0.85836
141,0.86008
142,0.85972
143,0.85936
144,0.85952
145,0.86008
146,0.85932
147,0.85908
148,0.86028
149,0.86008
150,0.861
151,0.86024
152,0.85932
153,0.86032
154,0.85828
155,0.86164
156,0.86136
157,0.86004
158,0.8598
159,0.86076
160,0.86008
161,0.86056
162,0.86028
163,0.85976
164,0.8612
165,0.86076
166,0.85984
167,0.8602
168,0.86176
169,0.8618
170,0.8616
171,0.8618
172,0.86072
173,0.85984
174,0.85932
175,0.86096
176,0.86124
177,0.86148
178,0.86204
179,0.86224
180,0.86016
181,0.8608
182,0.86128
183,0.86128
184,0.86344
185,0.86228
186,0.86084
187,0.85872
188,0.8606
189,0.85816
190,0.86068
191,0.86256
192,0.86216
193,0.86144
194,0.86268
195,0.8614
196,0.85948
197,0.8624
198,0.86088
199,0.86312
200,0.8628
201,0.8628
202,0.86292
203,0.86224
204,0.86328
205,0.86276
206,0.86276
207,0.86292
208,0.86328
209,0.86248
210,0.86124
211,0.8596
212,0.8612
213,0.86252
214,0.86148
215,0.8612
216,0.86204
217,0.86244
218,0.85892
219,0.86292
220,0.8574
221,0.86172
222,0.8612
223,0.8604
224,0.86264
225,0.86124
226,0.86248
227,0.86364
228,0.8616
229,0.86268
230,0.86252
231,0.86348
232,0.86228
233,0.86312
234,0.86236
235,0.86356
236,0.86292
237,0.86276
238,0.86308
239,0.86428
240,0.86376
241,0.8634
242,0.86412
243,0.86228
244,0.863
245,0.86372
246,0.8646
247,0.86264
248,0.86392
249,0.864
250,0.86332
251,0.86424
252,0.86384
253,0.86352
254,0.86416
255,0.86344
256,0.8622
257,0.86356
258,0.86476
259,0.86392
260,0.86152
261,0.8634
262,0.86144
263,0.86424
264,0.86392
265,0.8636
266,0.86416
267,0.86484
268,0.86456
269,0.8622
270,0.86384
271,0.86264
272,0.86276
273,0.86372
274,0.86484
275,0.86476
276,0.86416
277,0.8646
278,0.86476
279,0.8628
280,0.86136
281,0.86436
282,0.86352
283,0.86424
284,0.863
285,0.8634
286,0.86228
287,0.86496
288,0.86348
289,0.86496
290,0.86424
291,0.86516
292,0.86488
293,0.86512
294,0.86488
295,0.86508
296,0.86576
297,0.8624
298,0.86444
299,0.8618
300,0.86404
301,0.86488
302,0.86416
303,0.86344
304,0.8634
305,0.8646
306,0.86404
307,0.86516
308,0.86524
309,0.86472
310,0.86444
311,0.86344
312,0.86548
313,0.86556
314,0.86484
315,0.86364
316,0.86448
317,0.86452
318,0.86428
319,0.86336
320,0.86048
321,0.86368
322,0.8648
323,0.86412
324,0.86488
325,0.86356
326,0.86488
327,0.8646
328,0.86468
329,0.86552
330,0.86584
331,0.86412
332,0.865
333,0.86636
334,0.86532
335,0.86456
336,0.86608
337,0.86552
338,0.86456
339,0.865
340,0.8648
341,0.8608
342,0.86436
343,0.86576
344,0.8652
345,0.8654
346,0.86476
347,0.86432
348,0.86472
349,0.86528
350,0.86452
351,0.86496
352,0.86524
353,0.86332
354,0.86444
355,0.86224
356,0.86548
357,0.8636
358,0.86596
359,0.8648
360,0.863
361,0.86176
362,0.8648
363,0.86596
364,0.86492
365,0.86552
366,0.86676
367,0.86324
368,0.86652
369,0.86532
370,0.8656
371,0.86388
372,0.86524
373,0.86572
374,0.86556
375,0.86628
376,0.8602
377,0.86328
378,0.86412
379,0.86416
380,0.86328
381,0.865
382,0.8654
383,0.86484
384,0.8656
385,0.8636
386,0.86552
387,0.86388
388,0.86484
389,0.86472
390,0.86516
391,0.866
392,0.8658
393,0.86536
394,0.86612
395,0.8646
396,0.8648
397,0.86572
398,0.86452
399,0.86416
400,0.86332
401,0.8656
402,0.86456
403,0.86512
404,0.86516
405,0.86584
406,0.8644
407,0.86448
408,0.8672
409,0.86616
410,0.86532
411,0.8634
412,0.86656
413,0.86148
414,0.86452
415,0.86608
416,0.86452
417,0.865
418,0.86396
419,0.86492
420,0.86516
421,0.8664
422,0.86544
423,0.8654
424,0.865
425,0.86612
426,0.86364
427,0.86496
428,0.865
429,0.86396
430,0.86448
431,0.86556
432,0.8652
433,0.86448
434,0.86552
435,0.865
436,0.8654
437,0.86384
438,0.8662
439,0.8662
440,0.86644
441,0.86488
442,0.8664
443,0.86536
444,0.8656
445,0.86524
446,0.86644
447,0.86412
448,0.86628
449,0.8654
450,0.86656
451,0.86608
452,0.86248
453,0.86664
454,0.867
455,0.86588
456,0.86596
457,0.8656
458,0.86528
459,0.86428
460,0.86564
461,0.86244
462,0.86572
463,0.86676
464,0.86312
465,0.86448
466,0.86512
467,0.864
468,0.86604
469,0.86612
470,0.8658
471,0.86388
472,0.86316
473,0.86564
474,0.86412
475,0.86576
476,0.86604
477,0.86416
478,0.8656
479,0.86648
480,0.86624
481,0.86716
482,0.86568
483,0.86776
484,0.86592
485,0.86512
486,0.86592
487,0.86588
488,0.86572
489,0.86708
490,0.86588
491,0.86592
492,0.86584
493,0.86488
494,0.86584
495,0.86444
496,0.86304
497,0.8648
498,0.86672
499,0.8652
