,acc
0,0.75936
1,0.75936
2,0.83444
3,0.838
4,0.84044
5,0.84352
6,0.846
7,0.84884
8,0.84844
9,0.84856
10,0.8492
11,0.84812
12,0.84936
13,0.85088
14,0.851
15,0.85228
16,0.8512
17,0.84972
18,0.85068
19,0.84848
20,0.85156
21,0.84908
22,0.85104
23,0.84984
24,0.84948
25,0.85144
26,0.85088
27,0.8532
28,0.8522
29,0.85324
30,0.85164
31,0.85172
32,0.8534
33,0.85232
34,0.84892
35,0.85216
36,0.84996
37,0.85308
38,0.85296
39,0.85096
40,0.8536
41,0.85148
42,0.85304
43,0.85032
44,0.85348
45,0.84808
46,0.8544
47,0.85412
48,0.8534
49,0.85064
50,0.85248
51,0.85372
52,0.85376
53,0.85232
54,0.85236
55,0.8528
56,0.84936
57,0.85304
58,0.85188
59,0.85376
60,0.85476
61,0.85404
62,0.85512
63,0.85112
64,0.85456
65,0.85364
66,0.85528
67,0.85496
68,0.85424
69,0.85388
70,0.8506
71,0.85552
72,0.8548
73,0.85432
74,0.85396
75,0.8548
76,0.85348
77,0.85104
78,0.855
79,0.85572
80,0.85664
81,0.85496
82,0.85452
83,0.85464
84,0.85504
85,0.85504
86,0.8562
87,0.85632
88,0.85564
89,0.85372
90,0.85596
91,0.85664
92,0.85296
93,0.85664
94,0.8542
95,0.85716
96,0.85572
97,0.85516
98,0.8538
99,0.8562
100,0.85536
101,0.85704
102,0.85584
103,0.85632
104,0.85608
105,0.85624
106,0.8572
107,0.85404
108,0.85588
109,0.8548
110,0.85492
111,0.85596
112,0.85672
113,0.8562
114,0.85696
115,0.85652
116,0.85604
117,0.85724
118,0.85736
119,0.85728
120,0.85656
121,0.85508
122,0.85456
123,0.85276
124,0.85392
125,0.85556
126,0.85648
127,0.85668
128,0.85428
129,0.85388
130,0.85644
131,0.85628
132,0.85636
133,0.85736
134,0.8578
135,0.85476
136,0.85472
137,0.85648
138,0.85496
139,0.85368
140,0.85708
141,0.85616
142,0.8562
143,0.8564
144,0.85488
145,0.85616
146,0.85572
147,0.85684
148,0.85812
149,0.85772
150,0.85816
151,0.85712
152,0.85676
153,0.85716
154,0.85488
155,0.85564
156,0.8564
157,0.85744
158,0.85744
159,0.85788
160,0.85816
161,0.85688
162,0.8576
163,0.85736
164,0.85736
165,0.85864
166,0.858
167,0.8568
168,0.85656
169,0.85748
170,0.85752
171,0.85396
172,0.857
173,0.85576
174,0.85508
175,0.8548
176,0.85452
177,0.85524
178,0.85352
179,0.85472
180,0.85676
181,0.85628
182,0.85596
183,0.85756
184,0.85772
185,0.85708
186,0.85704
187,0.85604
188,0.85692
189,0.85352
190,0.85584
191,0.85732
192,0.85488
193,0.85676
194,0.8584
195,0.8578
196,0.85836
197,0.85728
198,0.8578
199,0.8592
200,0.85688
201,0.85524
202,0.85756
203,0.85716
204,0.85916
205,0.85736
206,0.85772
207,0.855
208,0.85692
209,0.8574
210,0.85808
211,0.85836
212,0.8572
213,0.85524
214,0.85848
215,0.85788
216,0.85912
217,0.85952
218,0.85588
219,0.85764
220,0.85792
221,0.85872
222,0.8568
223,0.85604
224,0.8538
225,0.85576
226,0.85592
227,0.85564
228,0.85844
229,0.85724
230,0.85544
231,0.85804
232,0.8578
233,0.85756
234,0.8578
235,0.85664
236,0.85876
237,0.85596
238,0.85588
239,0.85856
240,0.8588
241,0.85728
242,0.85728
243,0.85808
244,0.85584
245,0.85788
246,0.85712
247,0.85796
248,0.85848
249,0.85844
250,0.85756
251,0.85764
252,0.85904
253,0.85312
254,0.85712
255,0.8574
256,0.85748
257,0.85484
258,0.85676
259,0.85676
260,0.85552
261,0.85836
262,0.85568
263,0.85788
264,0.85688
265,0.85844
266,0.85808
267,0.85584
268,0.85624
269,0.8584
270,0.85776
271,0.85772
272,0.85944
273,0.85836
274,0.8582
275,0.85724
276,0.8568
277,0.85736
278,0.85936
279,0.859
280,0.85844
281,0.85908
282,0.85864
283,0.85756
284,0.8568
285,0.85916
286,0.85908
287,0.85924
288,0.85688
289,0.85944
290,0.85852
291,0.85644
292,0.85976
293,0.858
294,0.85964
295,0.85832
296,0.85936
297,0.86008
298,0.85856
299,0.85908
300,0.85936
301,0.85844
302,0.85876
303,0.85736
304,0.85868
305,0.8594
306,0.85868
307,0.85936
308,0.8562
309,0.85692
310,0.858
311,0.85664
312,0.85576
313,0.85816
314,0.85948
315,0.8574
316,0.85692
317,0.85792
318,0.8586
319,0.85852
320,0.85956
321,0.85832
322,0.85744
323,0.85544
324,0.85852
325,0.85708
326,0.85884
327,0.86
328,0.85856
329,0.85644
330,0.85892
331,0.85744
332,0.86032
333,0.86076
334,0.86048
335,0.85852
336,0.85792
337,0.85828
338,0.85784
339,0.85804
340,0.85808
341,0.85896
342,0.85864
343,0.85852
344,0.85732
345,0.85796
346,0.85928
347,0.85728
348,0.8604
349,0.85936
350,0.86032
351,0.85764
352,0.85912
353,0.85752
354,0.85844
355,0.8554
356,0.85556
357,0.85944
358,0.85824
359,0.85932
360,0.85872
361,0.85992
362,0.85864
363,0.85936
364,0.8594
365,0.8594
366,0.85932
367,0.85864
368,0.8598
369,0.86008
370,0.85924
371,0.85716
372,0.85816
373,0.85588
374,0.85704
375,0.85788
376,0.85788
377,0.85828
378,0.85652
379,0.85692
380,0.85928
381,0.858
382,0.85752
383,0.85808
384,0.85872
385,0.86012
386,0.85596
387,0.85972
388,0.85892
389,0.85976
390,0.85516
391,0.85908
392,0.85868
393,0.85784
394,0.85836
395,0.8572
396,0.85868
397,0.85876
398,0.858
399,0.85932
400,0.85804
401,0.8546
402,0.85772
403,0.85812
404,0.85776
405,0.8586
406,0.85828
407,0.85684
408,0.85876
409,0.85808
410,0.85864
411,0.85884
412,0.85904
413,0.85924
414,0.8592
415,0.85816
416,0.8582
417,0.85876
418,0.85944
419,0.85916
420,0.85948
421,0.85856
422,0.85924
423,0.85704
424,0.85692
425,0.8568
426,0.85856
427,0.85808
428,0.86004
429,0.86108
430,0.86124
431,0.86152
432,0.85908
433,0.85968
434,0.8582
435,0.85952
436,0.85812
437,0.85884
438,0.85928
439,0.85992
440,0.85912
441,0.85964
442,0.85776
443,0.86104
444,0.85988
445,0.86156
446,0.85924
447,0.85908
448,0.85992
449,0.85996
450,0.85936
451,0.85716
452,0.85812
453,0.8598
454,0.86008
455,0.85928
456,0.86072
457,0.8608
458,0.8616
459,0.86124
460,0.86076
461,0.861
462,0.86128
463,0.85948
464,0.86012
465,0.85988
466,0.86236
467,0.86124
468,0.86136
469,0.86076
470,0.8592
471,0.86172
472,0.8606
473,0.86128
474,0.86108
475,0.8608
476,0.86188
477,0.85956
478,0.85948
479,0.85724
480,0.85996
481,0.8602
482,0.86132
483,0.86156
484,0.85996
485,0.86192
486,0.86148
487,0.86076
488,0.86164
489,0.86012
490,0.85972
491,0.85704
492,0.85932
493,0.86008
494,0.8616
495,0.8618
496,0.85924
497,0.86124
498,0.86008
499,0.8568
