,acc
0,0.81988
1,0.83288
2,0.8412
3,0.84424
4,0.84728
5,0.84832
6,0.85088
7,0.85148
8,0.84976
9,0.84804
10,0.84876
11,0.85124
12,0.85176
13,0.8506
14,0.85304
15,0.85232
16,0.85452
17,0.85316
18,0.85368
19,0.85476
20,0.855
21,0.8562
22,0.85492
23,0.85556
24,0.85656
25,0.85348
26,0.8562
27,0.85616
28,0.85732
29,0.85648
30,0.85636
31,0.85792
32,0.85716
33,0.8574
34,0.85644
35,0.85856
36,0.85708
37,0.85816
38,0.85972
39,0.86044
40,0.85808
41,0.8584
42,0.86076
43,0.86
44,0.86032
45,0.8594
46,0.8598
47,0.8596
48,0.8614
49,0.8612
50,0.8596
51,0.86188
52,0.86164
53,0.86136
54,0.85964
55,0.86124
56,0.86244
57,0.8618
58,0.86076
59,0.86332
60,0.8622
61,0.86088
62,0.86324
63,0.86096
64,0.86452
65,0.86264
66,0.86316
67,0.86264
68,0.8634
69,0.86364
70,0.86256
71,0.86196
72,0.86428
73,0.8616
74,0.86184
75,0.86604
76,0.86424
77,0.86332
78,0.86256
79,0.86504
80,0.86288
81,0.86584
82,0.8662
83,0.8648
84,0.86548
85,0.86572
86,0.86444
87,0.86652
88,0.86508
89,0.86688
90,0.86504
91,0.86776
92,0.86744
93,0.86724
94,0.866
95,0.86428
96,0.86752
97,0.86692
98,0.86792
99,0.8664
100,0.86648
101,0.86644
102,0.86616
103,0.86896
104,0.87052
105,0.86736
106,0.8692
107,0.86832
108,0.86692
109,0.8696
110,0.86752
111,0.8694
112,0.86764
113,0.86492
114,0.86916
115,0.86876
116,0.86264
117,0.86884
118,0.87056
119,0.86964
120,0.8698
121,0.86956
122,0.8694
123,0.87172
124,0.87128
125,0.86912
126,0.86972
127,0.87096
128,0.87084
129,0.86856
130,0.8732
131,0.8714
132,0.8716
133,0.87292
134,0.87152
135,0.87308
136,0.872
137,0.87292
138,0.87176
139,0.87016
140,0.871
141,0.8726
142,0.87292
143,0.87368
144,0.87176
145,0.87212
146,0.87004
147,0.87076
148,0.8736
149,0.874
150,0.87376
151,0.8668
152,0.874
153,0.87252
154,0.87428
155,0.87524
156,0.87224
157,0.87048
158,0.8746
159,0.87552
160,0.87368
161,0.87404
162,0.87496
163,0.87092
164,0.87364
165,0.87568
166,0.87436
167,0.87432
168,0.87364
169,0.87496
170,0.87648
171,0.87396
172,0.8736
173,0.87888
174,0.87516
175,0.87608
176,0.87592
177,0.87668
178,0.87616
179,0.87388
180,0.87096
181,0.87484
182,0.87804
183,0.87636
184,0.87584
185,0.87756
186,0.8758
187,0.87888
188,0.87272
189,0.87412
190,0.87852
191,0.87648
192,0.87508
193,0.87776
194,0.87708
195,0.87744
196,0.87848
197,0.8774
198,0.87776
199,0.875
200,0.87808
201,0.87752
202,0.87808
203,0.8774
204,0.87608
205,0.87716
206,0.87916
207,0.87736
208,0.87856
209,0.87676
210,0.8788
211,0.87832
212,0.8742
213,0.87824
214,0.8796
215,0.8798
216,0.873
217,0.87868
218,0.878
219,0.87844
220,0.87648
221,0.88032
222,0.88052
223,0.8792
224,0.88048
225,0.87724
226,0.87876
227,0.8804
228,0.88224
229,0.87932
230,0.87928
231,0.88308
