,acc
0,0.81912
1,0.82972
2,0.83912
3,0.8444
4,0.84636
5,0.84804
6,0.8508
7,0.85124
8,0.849
9,0.85172
10,0.85128
11,0.85212
12,0.85272
13,0.84944
14,0.85216
15,0.85288
16,0.85384
17,0.85324
18,0.85432
19,0.85404
20,0.85244
21,0.8526
22,0.85336
23,0.85472
24,0.85384
25,0.85468
26,0.85372
27,0.8546
28,0.85428
29,0.85456
30,0.85452
31,0.85476
32,0.8552
33,0.85544
34,0.8528
35,0.85572
36,0.8558
37,0.85632
38,0.8546
39,0.85644
40,0.85624
41,0.85516
42,0.85672
43,0.85628
44,0.8574
45,0.85568
46,0.8568
47,0.85656
48,0.85692
49,0.85684
50,0.85804
51,0.85696
52,0.8582
53,0.85716
54,0.8574
55,0.85864
56,0.85704
57,0.85708
58,0.85828
59,0.85828
60,0.85816
61,0.85804
62,0.85736
63,0.85976
64,0.85736
65,0.85956
66,0.86004
67,0.8606
68,0.85956
69,0.85892
70,0.86036
71,0.85572
72,0.8602
73,0.85976
74,0.8604
75,0.85892
76,0.86156
77,0.8604
78,0.8602
79,0.86128
80,0.86156
81,0.8598
82,0.86172
83,0.86236
84,0.86164
85,0.86208
86,0.85916
87,0.86124
88,0.86052
89,0.85968
90,0.86196
91,0.86192
92,0.86308
93,0.86276
94,0.86292
95,0.86348
96,0.86264
97,0.86204
98,0.86576
99,0.8632
100,0.86356
101,0.86416
102,0.86532
103,0.865
104,0.86468
105,0.86316
106,0.86632
107,0.86416
108,0.8654
109,0.8646
110,0.865
111,0.8648
112,0.86456
113,0.86504
114,0.86604
115,0.8654
116,0.86616
117,0.8652
118,0.86592
119,0.86536
120,0.86476
121,0.86784
122,0.8624
123,0.86436
124,0.86668
125,0.86668
126,0.86536
127,0.86652
128,0.86344
129,0.86648
130,0.86772
131,0.86484
132,0.86672
133,0.86736
134,0.86544
135,0.86648
136,0.86124
137,0.86356
138,0.86672
139,0.86608
140,0.86516
141,0.86816
142,0.86756
143,0.86756
144,0.86708
145,0.86772
146,0.86784
147,0.86768
148,0.8682
149,0.8658
150,0.86616
151,0.8654
152,0.86836
153,0.86824
154,0.86808
155,0.8666
156,0.864
157,0.86848
158,0.86852
159,0.86888
160,0.86852
161,0.86752
162,0.86776
163,0.86756
164,0.86748
165,0.86868
166,0.869
167,0.86528
168,0.869
169,0.86688
170,0.86864
171,0.86616
172,0.86736
173,0.86964
174,0.86668
175,0.86784
176,0.86996
177,0.86892
178,0.869
179,0.86676
180,0.87076
181,0.87048
182,0.87068
183,0.8674
184,0.86916
185,0.86868
186,0.86732
187,0.86944
188,0.86928
189,0.8618
190,0.86704
191,0.86904
192,0.86424
193,0.86864
194,0.87064
195,0.86932
196,0.8688
197,0.86988
198,0.86888
199,0.8696
200,0.86808
201,0.86904
202,0.87004
203,0.87012
204,0.8706
205,0.87052
