,acc
0,0.75936
1,0.75936
2,0.83728
3,0.83748
4,0.84108
5,0.84324
6,0.8476
7,0.84312
8,0.84576
9,0.84832
10,0.84604
11,0.84756
12,0.84816
13,0.84936
14,0.84776
15,0.8524
16,0.8482
17,0.8492
18,0.84996
19,0.84468
20,0.85116
21,0.83792
22,0.85104
23,0.85112
24,0.8502
25,0.84912
26,0.85012
27,0.8502
28,0.84752
29,0.8514
30,0.84584
31,0.85016
32,0.84588
33,0.85064
34,0.8514
35,0.84988
36,0.85108
37,0.8484
38,0.84588
39,0.84968
40,0.84964
41,0.84936
42,0.84696
43,0.85228
44,0.8504
45,0.85056
46,0.85248
47,0.85244
48,0.85008
49,0.8512
50,0.8472
51,0.85112
52,0.8496
53,0.85088
54,0.85304
55,0.84884
56,0.85364
57,0.84992
58,0.85244
59,0.8528
60,0.85056
61,0.85316
62,0.85296
63,0.85296
64,0.8522
65,0.85332
66,0.85288
67,0.8526
68,0.8512
69,0.8534
70,0.85376
71,0.85468
72,0.85376
73,0.85384
74,0.85072
75,0.85312
76,0.85536
77,0.85172
78,0.85436
79,0.85332
80,0.85592
81,0.85352
82,0.8518
83,0.85264
84,0.8522
85,0.85348
86,0.84704
87,0.8564
88,0.85556
89,0.84864
90,0.85396
91,0.85676
92,0.85532
93,0.85288
94,0.85168
95,0.85368
96,0.85392
97,0.85412
98,0.85472
99,0.857
100,0.85752
101,0.8544
102,0.854
103,0.85416
104,0.85464
105,0.85312
106,0.85564
107,0.85504
108,0.8564
109,0.85732
110,0.85648
111,0.8588
112,0.85544
113,0.85668
114,0.85628
115,0.85512
116,0.85464
117,0.85804
118,0.85948
119,0.85256
120,0.85756
121,0.85528
122,0.85712
123,0.85696
124,0.85156
125,0.8568
126,0.85624
127,0.85748
128,0.85784
129,0.85824
130,0.85744
131,0.85888
132,0.85916
133,0.86
134,0.85716
135,0.8568
136,0.8556
137,0.85648
138,0.8586
139,0.85396
140,0.85932
141,0.85728
142,0.85892
143,0.86
144,0.85904
145,0.858
146,0.85716
147,0.8568
148,0.8546
149,0.85484
150,0.85432
151,0.85692
152,0.85884
153,0.85844
154,0.85884
155,0.85812
156,0.85692
157,0.85704
158,0.85792
159,0.85652
160,0.85572
161,0.8552
162,0.85396
163,0.85752
164,0.85732
165,0.85516
166,0.8528
167,0.84376
168,0.85716
169,0.8564
170,0.85768
171,0.85436
172,0.85684
173,0.85876
174,0.85636
175,0.8534
176,0.849
177,0.85792
178,0.8542
179,0.8574
180,0.85868
181,0.85804
182,0.8582
183,0.85896
184,0.85908
185,0.85808
186,0.85504
187,0.85776
188,0.85952
189,0.86032
190,0.86168
191,0.85908
192,0.8602
193,0.85948
194,0.8602
195,0.85952
196,0.85688
197,0.85836
198,0.85796
199,0.85616
200,0.85716
201,0.85968
202,0.85728
203,0.85492
204,0.85672
205,0.8578
206,0.85744
207,0.85708
208,0.85704
209,0.85728
210,0.85876
211,0.85656
212,0.85808
213,0.85856
214,0.859
215,0.85508
216,0.85704
217,0.85932
218,0.85932
219,0.8588
220,0.85776
221,0.85728
222,0.85804
223,0.85236
224,0.85824
225,0.8578
226,0.85496
227,0.85932
228,0.85836
229,0.86124
230,0.85932
231,0.8582
232,0.85792
233,0.86152
234,0.86024
235,0.8612
236,0.85932
237,0.85884
238,0.85608
239,0.85804
240,0.85784
241,0.85752
242,0.85876
243,0.85896
244,0.85552
245,0.8576
246,0.8602
247,0.85768
248,0.85776
249,0.85976
250,0.85664
251,0.85664
252,0.85788
253,0.85892
254,0.85676
255,0.85924
256,0.85896
257,0.85852
258,0.85872
259,0.86032
260,0.8596
261,0.8562
262,0.85932
263,0.85876
264,0.85648
265,0.86136
266,0.86068
267,0.861
268,0.85732
269,0.85492
270,0.85712
271,0.86028
272,0.85836
273,0.86032
274,0.8592
275,0.86144
276,0.8596
277,0.8608
278,0.858
279,0.86088
280,0.85956
281,0.86068
282,0.85968
283,0.85788
284,0.85876
285,0.85388
286,0.85704
287,0.85892
288,0.85972
289,0.85996
290,0.8598
291,0.85904
292,0.86036
293,0.85996
294,0.8582
295,0.85928
296,0.85816
297,0.85904
298,0.85688
299,0.85956
300,0.86132
301,0.86264
302,0.86192
303,0.85952
304,0.8592
305,0.85656
306,0.8572
307,0.85472
308,0.85656
309,0.85728
310,0.85892
311,0.85956
312,0.8594
313,0.85904
314,0.85996
315,0.86068
316,0.86
317,0.85984
318,0.85984
319,0.86
320,0.8616
321,0.86304
322,0.86124
323,0.85828
324,0.86052
325,0.86136
326,0.86068
327,0.85544
328,0.85852
329,0.86164
330,0.85944
331,0.85208
332,0.86152
333,0.8618
334,0.85816
335,0.86216
336,0.8586
337,0.85608
338,0.86044
339,0.8598
340,0.86
341,0.86032
342,0.86176
343,0.86112
344,0.86156
345,0.86092
346,0.86028
347,0.85968
348,0.85872
349,0.8604
350,0.86056
351,0.86028
352,0.85932
353,0.85232
354,0.85492
355,0.85752
356,0.85972
357,0.85884
358,0.85608
359,0.85988
360,0.85684
361,0.85776
362,0.85768
363,0.8578
364,0.86004
365,0.85836
366,0.85948
367,0.85548
368,0.8594
369,0.85844
370,0.85892
371,0.858
372,0.85688
373,0.85692
374,0.8572
375,0.85912
376,0.857
377,0.85876
378,0.86144
379,0.8602
380,0.85408
381,0.85704
382,0.86244
383,0.8612
384,0.86124
385,0.8638
386,0.8624
387,0.86264
388,0.8628
389,0.86264
390,0.86216
391,0.86092
392,0.86052
393,0.86024
394,0.85904
395,0.8614
396,0.85976
397,0.86008
398,0.85996
399,0.86172
400,0.85248
401,0.86012
402,0.85984
403,0.86172
404,0.8616
405,0.85756
406,0.85872
407,0.86032
408,0.85744
409,0.8636
410,0.861
411,0.86072
412,0.8572
413,0.85736
414,0.86204
415,0.861
416,0.86168
417,0.85976
418,0.85572
419,0.85896
420,0.86188
421,0.85916
422,0.86096
423,0.864
424,0.86168
425,0.85896
426,0.85932
427,0.86028
428,0.8616
429,0.86016
430,0.86216
431,0.859
432,0.86132
433,0.85964
434,0.86024
435,0.86108
436,0.86392
437,0.86136
438,0.8632
439,0.86144
440,0.86244
441,0.86252
442,0.85892
443,0.86128
444,0.86276
445,0.86104
446,0.86252
447,0.86124
448,0.862
449,0.86128
450,0.86292
451,0.85796
452,0.8594
453,0.86152
454,0.86316
455,0.86248
456,0.86188
457,0.86204
458,0.86292
459,0.86224
460,0.85588
461,0.85656
462,0.85816
463,0.85928
464,0.86008
465,0.85488
466,0.85632
467,0.85864
468,0.8592
469,0.85688
470,0.8578
471,0.85796
472,0.85488
473,0.8574
474,0.85764
475,0.85552
476,0.86004
477,0.85512
478,0.85672
479,0.85772
480,0.85836
481,0.85952
482,0.86
483,0.8618
484,0.85756
485,0.86008
486,0.86064
487,0.8606
488,0.85664
489,0.85768
490,0.86016
491,0.85932
492,0.8574
493,0.86116
494,0.85976
495,0.85612
496,0.8584
497,0.85976
498,0.86004
499,0.86068
